bm,norm,zlook,ema,hz,sl,tp,rr,is_pf,is_wr,oos_pf,oos_wr,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,100,75,80,1.55,2.0,2.0,1.0,1.0299135738441934,51.58898305084746,1.1438223249646893,53.11526479750779,2530,1.0633651384437393,51.976284584980235,96769.29243144645,-62555.20391388909
15,100,75,80,1.55,2.0,2.5,1.25,0.9902016023675246,47.565752658086176,1.176364473405478,49.59481361426256,2404,1.0446241673706769,48.0865224625624,69735.19569376534,-70435.31294988524
15,100,75,80,1.55,2.0,3.0,1.5,0.9906374586532602,45.17078916372203,1.0559586889271402,44.93996569468268,2281,1.0101659534540353,45.111793073213505,15876.908207864872,-68314.37493846056
15,100,75,80,1.6,1.5,2.0,1.333,1.0390464123466934,46.04135148764498,1.1914675846525236,49.1044776119403,2653,1.0837319459044876,46.814926498303805,120398.60067414909,-52364.255291265625
15,100,75,80,1.6,1.5,2.5,1.667,1.0002983977268465,42.141350210970465,1.2037219572188453,45.116279069767444,2541,1.0597784822794143,42.896497441951986,87970.99968106937,-53240.94837706798
15,100,75,80,1.6,1.5,3.0,2.0,1.0101256054032306,39.75704030922142,1.0761381548497526,40.68627450980392,2423,1.0297895276731266,39.991745769706974,43642.49012450524,-54292.45812869853
15,100,75,80,1.6,2.0,2.0,1.0,1.0480380855476905,51.80592991913747,1.1576157083718401,53.38582677165354,2490,1.0804800506790484,52.208835341365464,120360.5705964774,-64947.93270558148
15,100,75,80,1.6,2.0,2.5,1.25,1.0050123032382436,47.776510832383124,1.1956217783177994,50.0,2364,1.061016631371074,48.3502538071066,93480.46724323394,-71885.53847938002
15,100,75,80,1.6,2.0,3.0,1.5,1.0192392537138288,45.48174745661281,1.0712443785324044,45.3125,2247,1.0348884342144005,45.43836226079217,53356.769702001366,-67050.32780565448
15,100,75,80,1.65,1.5,2.0,1.333,1.045900568187623,46.264073694984646,1.175326363684045,48.85145482388974,2607,1.0839377034613313,46.912159570387416,118917.28253528374,-41268.64063117902
15,100,75,80,1.65,1.5,2.5,1.667,0.9956521857800201,42.16996258685195,1.18059458296615,44.67408585055644,2500,1.0498756271460585,42.8,72594.29141800251,-49456.849515707945
15,100,75,80,1.65,1.5,3.0,2.0,1.0098625723508827,39.85466741196199,1.0504401720169636,40.30100334448161,2387,1.0219898567739256,39.96648512777545,31894.56808751671,-50035.346637702205
15,100,75,80,1.65,2.0,2.0,1.0,1.0513386289395408,51.91256830601093,1.1553407812658776,53.31179321486268,2449,1.0819376718279383,52.26623111474071,120707.77307183485,-57016.13711441583
15,100,75,80,1.65,2.0,2.5,1.25,1.001424614756127,47.86374133949192,1.184961403803708,49.747899159663866,2327,1.0551837088734557,48.345509239363984,83447.35192802531,-68547.69577663671
15,100,75,80,1.65,2.0,3.0,1.5,1.0192928607394804,45.64164648910412,1.057062291295387,45.11545293072824,2215,1.0306296410566527,45.5079006772009,46289.78549948075,-64718.110666354405
15,100,75,80,1.7,1.5,2.0,1.333,1.0497082088287708,46.354166666666664,1.1748032711849614,48.43260188087774,2558,1.0864232970627508,46.87255668491009,120082.98218645762,-44807.46253132862
15,100,75,80,1.7,1.5,2.5,1.667,1.0085404344983258,42.38302502720348,1.1927772542745965,44.31818181818182,2454,1.0625809119396927,42.86878565607172,89134.51346883725,-48748.70310985865
15,100,75,80,1.7,1.5,3.0,2.0,1.0158239569156635,40.011383039271486,1.061809782206139,40.03407155025554,2344,1.0296103088802389,40.01706484641638,42091.50571588027,-54917.154158619705
15,100,75,80,1.7,2.0,2.0,1.0,1.0490659474338762,51.97331851028349,1.1606549204058831,52.980132450331126,2403,1.0816613566268731,52.22638368705785,118141.9652509952,-53918.61783864809
15,100,75,80,1.7,2.0,2.5,1.25,1.005449783768121,47.974163241338815,1.2035360847115102,49.48453608247423,2285,1.0630823004330634,48.35886214442013,93562.62309746082,-65124.76983588571
15,100,75,80,1.7,2.0,3.0,1.5,1.0161907858008825,45.689655172413794,1.071845061258518,44.827586206896555,2175,1.032845438527849,45.47126436781609,48778.18715426369,-66248.98939369307
15,100,75,80,1.75,1.5,2.0,1.333,1.051860271304205,46.56448202959831,1.161533691448308,48.242811501597444,2518,1.0840768640845262,46.98173153296267,115339.04432891638,-39192.10310619393
