bm,norm,zlook,ema,hz,sl,tp,variant,of_p1,of_p2,gamma,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,100,100,60,2.0,2.5,0.75,multi_pd50_K3,50,3,none,493,1.1670295991236845,74.2393509127789,29699.93119788007,-10769.941889600304,82,1.9692751660346284,76.82926829268293,26812.582523778765,-5652.0449394772,575,1.2750336698910267,74.6086956521739,56512.513721658834,-10769.941889600304
15,275,100,40,1.5,2.5,0.75,baseline,0,0,none,1669,1.2016719292900722,74.53565008987418,112982.95548969654,-17912.380562056132,548,1.205300314023455,74.63503649635037,50143.39042566273,-19751.86329434131,2217,1.2027735309159997,74.56021650879568,163126.34591535927,-19751.863294341267
15,275,100,40,1.5,2.5,0.75,gamma_only,0,0,drop_neg,379,1.3116025498003263,74.40633245382585,32874.826492381,-10107.880281428188,139,2.0036577755330836,78.41726618705036,31012.13033039967,-5528.742335010902,518,1.4683741632508491,75.48262548262548,63886.95682278067,-10107.880281428188
15,275,100,40,1.5,2.5,0.75,gamma_only,0,0,drop_pos,1423,1.2256471201050125,74.98243148278286,108507.25574097043,-17912.380562056132,427,1.1172104673147818,73.30210772833723,25141.568512848025,-21074.91644648144,1850,1.1921979279549282,74.5945945945946,133648.82425381846,-21074.91644648144
15,275,100,40,1.5,2.5,0.75,window_N3_D100,3,100,none,924,1.1544918425208688,73.5930735930736,50339.41220971294,-27192.356736944203,196,1.4389508864749798,75.0,34719.590174030964,-12087.225634867864,1120,1.2100557353577504,73.83928571428571,85059.00238374391,-27192.356736944203
15,275,100,40,1.5,2.5,0.75,window_N3_D100,3,100,drop_pos,795,1.1868485005010052,73.9622641509434,52518.527665622605,-24671.81489786711,153,1.3992553623481485,75.16339869281046,26414.666729575765,-9158.158045170567,948,1.2273190469117428,74.15611814345992,78933.19439519837,-24671.81489786711
15,275,100,40,1.5,2.5,0.75,window_N5_D100,5,100,none,1151,1.1736939172746044,73.8488271068636,70496.75277097846,-21925.477080492565,303,1.1467066877251308,71.94719471947195,21355.784734353438,-19129.949504364704,1454,1.1665698319118032,73.4525447042641,91852.53750533189,-21925.477080492565
15,275,100,40,1.5,2.5,0.75,window_N5_D100,5,100,drop_pos,989,1.1898283291902336,74.31749241658241,66711.83867292835,-20061.937375671987,237,1.1491654478764535,72.57383966244726,17735.18590778418,-12679.61075652027,1226,1.1795490107040607,73.98042414355628,84447.02458071253,-20061.937375671987
15,275,100,40,1.5,2.5,0.75,window_N8_D100,8,100,none,1293,1.2031464923373931,74.47795823665894,90830.20348404687,-19117.590053769563,345,1.2309463599705515,72.7536231884058,37876.98241061298,-18012.672098872208,1638,1.2106071532514036,74.11477411477412,128707.18589465985,-19117.590053769563
15,275,100,40,1.5,2.5,0.75,window_N8_D100,8,100,drop_pos,1109,1.2181903982041513,74.84220018034264,84366.468362883,-19117.590053769563,271,1.2283022749825918,73.43173431734317,31090.001283964448,-14042.653027000488,1380,1.220824123721426,74.56521739130434,115456.46964684744,-19117.590053769563
15,275,100,40,1.5,2.5,0.75,window_N10_D100,10,100,none,1325,1.229059323382378,74.71698113207547,102916.73914749041,-18309.038635377656,362,1.2432455323094922,73.75690607734806,41185.332949916774,-16009.454329270739,1687,1.2329420946863718,74.51096621221103,144102.0720974072,-18309.038635377656
