entry_ts,exit_ts,direction,pnl_$,strat,cum,peak,dd
2021-10-12 11:20:00-04:00,2021-10-12 15:00:00-04:00,SHORT,-70.0,RV,65827.77872712875,74264.85794057621,-8437.079213447461
2021-10-12 19:00:00-04:00,2021-10-13 07:00:00-04:00,LONG,2010.0,OD,67837.77872712875,74264.85794057621,-6427.079213447461
2021-10-13 09:20:00-04:00,2021-10-13 14:20:00-04:00,LONG,1351.4621447787797,RV,69189.24087190753,74264.85794057621,-5075.617068668682
2021-10-13 19:00:00-04:00,2021-10-14 08:00:00-04:00,LONG,2765.0,OD,71954.24087190753,74264.85794057621,-2310.617068668682
2021-10-14 11:45:00-04:00,2021-10-14 14:00:00-04:00,LONG,595.0,FB,72549.24087190753,74264.85794057621,-1715.617068668682
2021-10-14 19:00:00-04:00,2021-10-15 05:00:00-04:00,LONG,35.0,OD,72584.24087190753,74264.85794057621,-1680.617068668682
2021-10-15 10:40:00-04:00,2021-10-15 15:00:00-04:00,LONG,695.0,RV,73279.24087190753,74264.85794057621,-985.6170686686819
2021-10-15 12:15:00-04:00,2021-10-15 16:00:00-04:00,LONG,957.8755129556885,B2,74237.11638486321,74264.85794057621,-27.741555713000707
2021-10-17 19:00:00-04:00,2021-10-18 05:00:00-04:00,LONG,-820.0,OD,73417.11638486321,74264.85794057621,-847.7415557130007
2021-10-18 10:00:00-04:00,2021-10-18 11:20:00-04:00,LONG,1219.440637765474,RV,74636.5570226287,74636.5570226287,0.0
2021-10-18 10:10:00-04:00,2021-10-18 14:00:00-04:00,LONG,1855.0,FB,76491.5570226287,76491.5570226287,0.0
2021-10-18 19:00:00-04:00,2021-10-19 08:00:00-04:00,LONG,3190.0,OD,79681.5570226287,79681.5570226287,0.0
2021-10-19 13:00:00-04:00,2021-10-19 14:00:00-04:00,LONG,25.0,FB,79706.5570226287,79706.5570226287,0.0
2021-10-19 11:00:00-04:00,2021-10-19 15:00:00-04:00,LONG,-80.0,RV,79626.5570226287,79706.5570226287,-80.0
2021-10-19 19:00:00-04:00,2021-10-20 07:40:00-04:00,LONG,-325.0,OD,79301.5570226287,79706.5570226287,-405.0
2021-10-20 13:30:00-04:00,2021-10-20 16:20:00-04:00,LONG,245.0,B2,79546.5570226287,79706.5570226287,-160.0
2021-10-20 19:00:00-04:00,2021-10-21 07:20:00-04:00,LONG,-530.0,OD,79016.5570226287,79706.5570226287,-690.0
2021-10-21 09:40:00-04:00,2021-10-21 10:20:00-04:00,LONG,881.6588112471072,RV,79898.2158338758,79898.2158338758,0.0
2021-10-21 10:20:00-04:00,2021-10-21 11:20:00-04:00,LONG,240.0,B2,80138.2158338758,80138.2158338758,0.0
2021-10-21 09:55:00-04:00,2021-10-21 14:00:00-04:00,LONG,530.0,FB,80668.2158338758,80668.2158338758,0.0
2021-10-21 19:00:00-04:00,2021-10-22 08:00:00-04:00,LONG,750.0,OD,81418.2158338758,81418.2158338758,0.0
2021-10-22 12:00:00-04:00,2021-10-22 15:00:00-04:00,SHORT,-585.0,RV,80833.2158338758,81418.2158338758,-585.0
2021-10-24 19:00:00-04:00,2021-10-25 08:00:00-04:00,LONG,1405.0,OD,82238.2158338758,82238.2158338758,0.0
