bm,norm,zlook,ema,hz,sl,tp,variant,of_p1,of_p2,gamma,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,400,75,80,1.75,1.5,2.0,multi_pd25_K2,25,2,none,1580,1.139296861192806,48.9873417721519,113758.81434999894,-36297.66343208859,465,1.2729116001883776,49.89247311827957,85024.54827810099,-32759.950541016806,2045,1.176193473142912,49.19315403422983,198783.36262809992,-36297.66343208859
15,400,75,80,1.75,1.5,2.0,multi_pd25_K2,25,2,drop_pos,1326,1.1601506342544012,49.698340874811464,111253.98830032161,-29103.20767471014,365,1.2821750561962628,50.136986301369866,73689.86964626674,-33475.77876809817,1691,1.1934897408070253,49.79302188054406,184943.85794658837,-33475.77876809816
15,400,75,80,1.75,1.5,2.0,multi_pd25_K3,25,3,none,1483,1.1326078853300592,48.88739042481456,102931.17075681096,-39395.279137150486,422,1.2583970279355867,49.28909952606635,74941.60810609865,-29863.01112715053,1905,1.1668237024915005,48.976377952755904,177872.77886290962,-39395.279137150486
15,400,75,80,1.75,1.5,2.0,multi_pd25_K3,25,3,drop_pos,1239,1.1570803372745184,49.87893462469734,103269.31272227407,-33192.25605023741,335,1.275188568469148,49.850746268656714,67294.29933504114,-26968.201028158437,1574,1.189101459498884,49.87293519695044,170563.61205731521,-33192.25605023741
15,400,75,80,1.75,1.5,2.0,multi_pd25_K4,25,4,none,1393,1.1432498270946776,49.31801866475233,104910.4307248577,-35728.72069908313,384,1.268061895802931,49.739583333333336,71910.96474238868,-27836.277055500905,1777,1.176711401351353,49.4091164884637,176821.39546724636,-38707.67446034304
15,400,75,80,1.75,1.5,2.0,multi_pd25_K4,25,4,drop_pos,1169,1.1581583940252926,49.957228400342174,99166.24650087743,-30872.37337235907,306,1.2898489248710538,50.65359477124183,65795.6351847596,-25195.322399630968,1475,1.193162516161594,50.101694915254235,164961.88168563702,-32508.221767945506
15,400,75,80,1.75,1.5,2.0,multi_pd25_K5,25,5,none,1319,1.1478014894244524,49.35557240333586,102477.08044752295,-34750.72261462985,351,1.2868194532519177,49.572649572649574,69993.37933294388,-27234.414571697707,1670,1.1839929119167,49.40119760479042,172470.4597804668,-39535.674201460715
15,400,75,80,1.75,1.5,2.0,multi_pd25_K5,25,5,drop_pos,1112,1.155752105678818,49.73021582733813,93158.58628817259,-29894.375287905787,279,1.317973690575226,50.53763440860215,65657.32595361216,-29087.41991595176,1391,1.1973830771450857,49.8921639108555,158815.91224178474,-34547.128579484124
15,400,75,80,1.75,1.5,2.0,multi_pd50_K2,50,2,none,935,1.0891742798377861,47.70053475935829,45280.74969983495,-36698.86084830017,209,1.538308219220494,53.110047846889955,74513.536056702,-14932.887479364217,1144,1.1853827250019624,48.68881118881119,119794.28575653696,-38594.228573088985
15,400,75,80,1.75,1.5,2.0,multi_pd50_K2,50,2,drop_pos,790,1.0767710196738476,47.848101265822784,34127.028574565375,-32366.777721283215,166,1.6558111498497692,55.42168674698795,74272.45882631083,-14475.908046934055,956,1.19433992274941,49.16317991631799,108399.48740087621,-37272.41702762534
15,400,75,80,1.75,1.5,2.0,multi_pd50_K3,50,3,none,717,1.1166277348180949,47.97768479776848,45241.17395668327,-24148.18591252333,122,1.3051492416798856,50.0,27453.516539493285,-16819.148577597953,839,1.1521196264973812,48.271752085816445,72694.69049617655,-24148.18591252333
15,400,75,80,1.75,1.5,2.0,multi_pd50_K3,50,3,drop_pos,605,1.1145904233525734,48.264462809917354,38506.6029449218,-25774.605188978276,86,1.35050715844369,51.16279069767442,24683.268775728648,-14090.338874750742,691,1.15546454280462,48.62518089725036,63189.871720650444,-25774.605188978276
15,400,75,80,1.75,1.5,2.0,multi_pd50_K4,50,4,none,529,1.2522636665604456,50.85066162570889,66813.08297752042,-20812.234481244195,69,1.4065343769585277,52.17391304347826,20756.711232335292,-9807.282498130371,598,1.2771969115947799,51.00334448160535,87569.79420985573,-20812.234481244195
15,400,75,80,1.75,2.0,2.0,baseline,0,0,none,1777,1.0788302166329413,52.504220596510976,79254.23768886353,-34079.86774427223,596,1.196810579222823,52.852348993288594,81784.53077129874,-24779.752270555546,2373,1.113333487297324,52.59165613147914,161038.76846016228,-34079.86774427223
15,400,75,80,1.75,2.0,2.0,gamma_only,0,0,drop_neg,419,0.9961946857855596,50.35799522673031,-808.8860428276166,-23274.56722258379,140,1.3088635065284417,55.0,21667.22936991544,-9284.433192794022,559,1.0737776630898774,51.52057245080501,20858.343327087823,-23274.56722258379
15,400,75,80,1.75,2.0,2.0,gamma_only,0,0,drop_pos,1498,1.0796573235490123,53.004005340453936,69222.75321622594,-32521.25057304318,473,1.198581664675392,52.43128964059196,69495.03925965626,-23249.64749090759,1971,1.1137997688832335,52.86656519533232,138717.79247588222,-32521.25057304318
15,400,75,80,1.75,2.0,2.0,window_N3_D100,3,100,none,1005,1.1395287762701674,53.03482587064676,79590.6136003066,-24453.372144464156,235,1.1660336386812762,53.191489361702125,29624.996716767273,-17981.232614962864,1240,1.1458440439012714,53.064516129032256,109215.61031707388,-24453.372144464156
