bm,norm,zlook,ema,hz,sl,tp,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd,robust_pf
20,175,125,20,1.9,3.0,0.75,1183,1.1948575029825104,76.24683009298394,87478.41848484713,-16665.341849308315,384,1.1904211935832563,75.52083333333333,36582.21008386674,-16004.902578521942,1567,1.1935280091241571,76.06892150606254,124060.62856871387,-16665.341849308315,1.1904211935832563
20,175,100,20,2.0,3.0,0.75,1140,1.1899904687216198,76.57894736842105,82181.56334648619,-20157.968684293475,390,1.2905314790854034,75.8974358974359,52943.27594905153,-20740.36843052956,1530,1.2197919183356654,76.40522875816994,135124.83929553773,-20740.36843052956,1.1899904687216198
20,175,100,20,1.9,3.0,0.75,1179,1.1895460017633142,76.42069550466498,84582.74550485719,-16815.91367332934,411,1.2773513361435604,75.91240875912409,53670.52828726235,-20625.135802167788,1590,1.2161052935287762,76.28930817610063,138253.27379211952,-20625.135802167788,1.1895460017633142
20,150,75,40,1.95,3.0,0.75,1287,1.1892297905660738,74.43667443667444,91092.72283382183,-18279.115775302234,406,1.1924842019802582,74.8768472906404,39134.62420901444,-23132.94016628177,1693,1.1901961485887138,74.54223272297696,130227.34704283626,-23132.94016628177,1.1892297905660738
20,175,75,20,2.0,3.0,1.0,1206,1.1911880960586805,70.56384742951907,103060.12221992401,-24056.10659117927,381,1.1891254314107578,70.07874015748031,44283.12697042624,-21019.95928235905,1587,1.1905634609901214,70.4473850031506,147343.24919035024,-30898.03767829915,1.1891254314107578
20,200,75,40,1.95,3.0,0.75,1280,1.1885815366075505,74.609375,90709.01000834405,-20904.389521367957,400,1.2360928317579154,75.0,45792.98565098361,-20371.263874307042,1680,1.2022345791300149,74.70238095238095,136501.99565932766,-20904.389521367957,1.1885815366075505
20,275,100,60,2.0,2.5,0.75,1170,1.1883210378698914,74.87179487179488,83499.40692295982,-20923.77522376173,391,1.2027145879481602,74.93606138107417,40312.047826534326,-14334.979337738841,1561,1.1927777424216561,74.88789237668162,123811.45474949415,-20923.77522376173,1.1883210378698914
20,175,100,40,1.95,3.0,0.75,1164,1.2267855603200446,76.63230240549828,98086.88851342333,-14325.306011833127,398,1.1882093170976593,75.37688442211055,37183.74252558329,-19721.537212515614,1562,1.2146896250782382,76.3124199743918,135270.63103900664,-19721.537212515614,1.1882093170976593
20,175,100,20,1.95,3.0,0.75,1162,1.1879812960380787,76.50602409638554,83028.337214001,-16815.91367332934,400,1.29748760837412,75.75,55199.44834822469,-20240.273219891096,1562,1.220375994873254,76.3124199743918,138227.78556222568,-20240.273219891096,1.1879812960380787
20,250,75,40,2.0,3.0,0.75,1259,1.1879080863045004,74.90071485305798,89011.411869162,-18077.731749762897,399,1.2126257915440977,74.93734335839599,42090.03240164653,-22017.72726641655,1658,1.1951930665175856,74.90952955367914,131101.44427080854,-22017.72726641655,1.1879080863045004
20,175,75,20,1.65,3.0,0.75,1442,1.186921768526563,75.10402219140083,100211.36179119447,-22929.05917669028,460,1.262635375234623,75.21739130434783,56436.619965351274,-21090.968234771353,1902,1.2085859316919727,75.13144058885383,156647.98175654575,-22929.05917669028,1.186921768526563
20,275,100,40,1.95,3.0,0.75,1168,1.1864635090254583,75.9417808219178,83222.754285851,-15565.275952769261,398,1.1883631114086273,74.87437185929649,38309.89121872546,-26441.878013657624,1566,1.1870581590940485,75.67049808429118,121532.64550457647,-26441.878013657624,1.1864635090254583
20,275,100,60,2.0,2.5,1.0,1114,1.1863524167075805,70.19748653500898,94316.08039567152,-15714.010966834649,370,1.2173638492019376,70.8108108108108,49680.104885111796,-13852.44523268033,1484,1.1960000832546402,70.35040431266846,143996.18528078333,-15714.010966834649,1.1863524167075805
20,250,75,60,1.9,3.0,0.75,1300,1.2012803882589285,75.07692307692308,98349.88575271997,-18638.21933316547,413,1.1859095277750236,74.57627118644068,38478.427184944376,-20356.642497818902,1713,1.1967067981310575,74.95621716287215,136828.31293766433,-20356.642497818902,1.1859095277750236
