entry_ts,exit_ts,entry_close,exit_close,drift,prev_drift,prev2_drift,sign,prev_sign,year
2024-11-12 19:00:00-05:00,2024-11-13 08:00:00-05:00,21140.5,21132.5,-8.0,-12.5,18.0,-1.0,-1.0,2024
2024-11-13 19:00:00-05:00,2024-11-14 08:00:00-05:00,21145.5,21169.5,24.0,-8.0,-12.5,1.0,-1.0,2024
2024-11-14 19:00:00-05:00,2024-11-15 08:00:00-05:00,20953.25,20838.0,-115.25,24.0,-8.0,-1.0,1.0,2024
2024-11-17 19:00:00-05:00,2024-11-18 08:00:00-05:00,20585.25,20516.0,-69.25,-115.25,24.0,-1.0,-1.0,2024
2024-11-18 19:00:00-05:00,2024-11-19 08:00:00-05:00,20646.5,20586.0,-60.5,-69.25,-115.25,-1.0,-1.0,2024
2024-11-19 19:00:00-05:00,2024-11-20 08:00:00-05:00,20806.5,20825.25,18.75,-60.5,-69.25,1.0,-1.0,2024
2024-11-20 19:00:00-05:00,2024-11-21 08:00:00-05:00,20708.75,20801.5,92.75,18.75,-60.5,1.0,1.0,2024
2024-11-21 19:00:00-05:00,2024-11-22 08:00:00-05:00,20781.25,20795.5,14.25,92.75,18.75,1.0,1.0,2024
2024-11-24 19:00:00-05:00,2024-11-25 08:00:00-05:00,20950.0,20948.75,-1.25,14.25,92.75,-1.0,1.0,2024
2024-11-25 19:00:00-05:00,2024-11-26 08:00:00-05:00,20801.0,20927.0,126.0,-1.25,14.25,1.0,-1.0,2024
2024-11-26 19:00:00-05:00,2024-11-27 08:00:00-05:00,20981.0,20961.25,-19.75,126.0,-1.25,-1.0,1.0,2024
2024-11-27 19:00:00-05:00,2024-11-28 08:00:00-05:00,20844.25,20869.75,25.5,-19.75,126.0,1.0,-1.0,2024
2024-11-28 19:00:00-05:00,2024-11-29 08:00:00-05:00,20873.0,20849.0,-24.0,25.5,-19.75,-1.0,1.0,2024
