date,fill_idx,dir,kind,bos,sl,tp,pnl_pts,reason
2022-09-27,574,1,CONT,False,25.0,38.0,38.0,TP
2022-09-29,576,-1,CONT,False,50.0,76.0,76.0,TP
2022-09-29,621,1,REV,False,50.0,76.0,76.0,TP
2022-09-30,574,1,CONT,False,50.0,76.0,-50.0,SL
2022-09-30,577,-1,CONT,False,50.0,76.0,-50.0,SL
2022-10-03,573,-1,CONT,False,25.0,38.0,38.0,TP
2022-10-04,573,1,CONT,False,25.0,38.0,38.0,TP
2022-10-06,572,1,CONT,False,25.0,38.0,38.0,TP
2022-10-06,580,1,CONT,False,50.0,76.0,-50.0,SL
2022-10-10,574,-1,CONT,False,25.0,38.0,38.0,TP
2022-10-11,576,-1,CONT,False,50.0,76.0,76.0,TP
2022-10-11,633,1,REV,False,50.0,76.0,76.0,TP
2022-10-12,572,-1,CONT,False,50.0,76.0,-50.0,SL
2022-10-12,578,1,CONT,False,25.0,38.0,-25.0,SL
2022-10-13,573,-1,CONT,False,50.0,76.0,-50.0,SL
2022-10-13,587,1,REV,True,50.0,76.0,76.0,TP
2022-10-13,605,1,REV,True,50.0,76.0,76.0,TP
2022-10-14,594,1,REV,False,50.0,76.0,-50.0,SL
2022-10-14,614,1,REV,True,50.0,76.0,-50.0,SL
2022-10-18,596,1,REV,False,50.0,76.0,-50.0,SL
2022-10-20,580,-1,CONT,False,50.0,76.0,-50.0,SL
2022-10-21,578,1,CONT,False,50.0,76.0,-50.0,SL
2022-10-21,625,-1,REV,True,50.0,76.0,76.0,TP
2022-10-24,572,-1,CONT,False,50.0,76.0,-50.0,SL
2022-10-25,612,-1,REV,True,50.0,76.0,-50.0,SL
2022-10-26,571,-1,CONT,False,50.0,76.0,-50.0,SL
2022-11-02,572,-1,CONT,False,50.0,76.0,76.0,TP
2022-11-03,571,-1,CONT,False,50.0,76.0,-50.0,SL
2022-11-04,573,-1,CONT,False,50.0,76.0,76.0,TP
2022-11-07,571,1,CONT,False,50.0,76.0,-50.0,SL
2022-11-07,574,-1,CONT,False,50.0,76.0,-50.0,SL
2022-11-08,579,-1,CONT,False,25.0,38.0,-25.0,SL
2022-11-10,576,1,CONT,False,50.0,76.0,-50.0,SL
2022-11-10,604,-1,REV,False,50.0,76.0,-50.0,SL
2022-11-14,580,1,CONT,False,50.0,76.0,-50.0,SL
2022-11-17,576,1,CONT,False,25.0,38.0,-25.0,SL
2022-11-18,572,-1,CONT,False,50.0,76.0,76.0,TP
2022-11-23,576,1,CONT,False,25.0,38.0,38.0,TP
2022-11-24,571,1,CONT,False,25.0,38.0,-6.25,FC
2022-11-29,576,-1,CONT,False,50.0,76.0,76.0,TP
2022-11-30,285,1,CONT,False,50.0,76.0,-50.0,SL
2022-12-01,573,1,CONT,False,50.0,76.0,-50.0,SL
2022-12-05,575,1,CONT,False,25.0,38.0,-25.0,SL
2022-12-06,575,-1,CONT,False,25.0,38.0,38.0,TP
2022-12-07,574,1,CONT,False,50.0,76.0,-50.0,SL
2022-12-09,572,-1,CONT,False,50.0,76.0,-50.0,SL
2022-12-12,577,-1,CONT,False,25.0,38.0,-25.0,SL
2022-12-14,573,1,CONT,False,50.0,76.0,76.0,TP
2022-12-15,573,-1,CONT,False,50.0,76.0,76.0,TP
2022-12-15,634,1,REV,True,50.0,76.0,-50.0,SL
2022-12-16,572,1,CONT,False,50.0,76.0,-50.0,SL
