date,strat,pnl_pts,mae_pts,stop_pts,ratio
2025-07-11,FB,19.5,69.5,94.75,0.7335092348284961
2025-07-13,OD,-53.0,20.5,49.37778483853786,0.4151664572850658
2025-07-14,FB,110.5,22.75,46.25,0.4918918918918919
2025-07-14,B2,20.75,16.25,89.44520381028694,0.18167547624427366
2025-07-14,OD,141.0,7.75,28.274808390566594,0.27409557981604765
2025-07-15,OD,-29.5,23.25,47.09288144269112,0.4937051904180824
2025-07-16,RV,-82.0,83.25,118.85779568933998,0.7004168259824666
2025-07-16,OD,167.5,19.75,42.72643376785489,0.46224311879871555
2025-07-17,FB,82.0,11.25,105.0,0.10714285714285714
2025-07-17,OD,10.0,12.5,30.332380882171496,0.4121008518440154
2025-07-20,OD,73.0,9.0,27.62329504635063,0.3258119635944376
2025-07-21,RV,42.228838959770655,3.25,43.20467259372142,0.07522334518216661
2025-07-21,FB,32.25,19.5,142.25,0.13708260105448156
2025-07-21,OD,-8.25,11.75,24.33557734257737,0.48283218575802084
2025-07-22,OD,-37.0,18.5,41.616648073680615,0.4445336387314636
2025-07-23,B2,-108.75,143.0,66.24399711548298,2.158686163679231
2025-07-23,RV,-60.06537073491927,94.0,60.065396986214616,1.5649609378520146
2025-07-23,B2,18.75,36.5,84.38950627644451,0.43251823135962797
2025-07-23,OD,-14.5,11.0,41.96850581486553,0.26210130159324674
2025-07-24,OD,29.0,5.75,30.73445983079482,0.18708641803552076
2025-07-25,RV,42.85454907827079,5.25,42.85454907945839,0.122507414329941
2025-07-25,FB,37.75,9.75,34.5,0.2826086956521739
2025-07-27,OD,35.25,6.0,33.354514884136975,0.17988569226211507
2025-07-28,OD,66.5,3.0,26.18172057525974,0.11458376050483222
2025-07-29,RV,-37.17141901393916,90.0,37.17082800429855,2.421253569858388
2025-07-29,B2,-43.25,76.75,79.22342503053977,0.9687791201959989
2025-07-29,OD,10.0,7.75,34.46942557295944,0.2248369350860235
2025-07-30,FB,11.5,57.0,59.0,0.9661016949152542
2025-07-30,OD,82.5,23.25,66.92448555467594,0.3474064807118349
2025-07-31,B2,91.0,112.5,143.69734863628156,0.782895447046511
2025-07-31,OD,-17.5,65.5,85.10606605583973,0.769627865974021
2025-08-01,RV,48.0,24.5,138.94829241279075,0.1763245850277515
2025-08-03,OD,169.5,34.0,52.627155905859,0.6460542929741482
2025-08-04,FB,137.75,2.5,69.0,0.036231884057971016
2025-08-04,RV,63.051143418171705,9.25,61.751760355255726,0.1497933005761305
2025-08-04,OD,-1.5,25.0,38.90995713232999,0.6425090604694521
2025-08-05,B2,7.5,88.25,109.98640387524023,0.8023719013497681
2025-08-05,RV,48.75,56.25,94.6530989253361,0.5942753131027534
2025-08-05,OD,188.0,42.75,53.867703191063,0.7936109666374731
2025-08-06,RV,72.05526965309036,4.25,72.05522599485143,0.05898253653806701
2025-08-06,FB,102.5,105.5,123.0,0.8577235772357723
2025-08-06,RV,88.64847938332241,24.25,88.64844442809351,0.27355245945314016
2025-08-06,B2,30.25,34.25,118.4901751132113,0.28905350141710806
2025-08-06,OD,6.5,17.5,43.48036752054485,0.4024804986234557
2025-08-07,OD,-50.0,25.0,56.822826399793,0.43996403529992434
2025-08-08,FB,49.5,37.5,131.25,0.2857142857142857
2025-08-08,B2,61.18829653250941,82.0,71.74836388337074,1.1428832040448145
2025-08-10,OD,39.0,21.5,34.392050959704946,0.6251444563509815
2025-08-11,FB,-92.0,95.25,91.25,1.0438356164383562
2025-08-11,OD,-3.75,18.25,35.59419625667087,0.5127240370424064
2025-08-12,FB,45.75,21.75,205.5,0.10583941605839416
2025-08-12,OD,-15.5,5.0,34.03255615024916,0.14691814443574772
2025-08-13,OD,-18.75,25.75,36.04740820924677,0.714337071073939
2025-08-14,RV,-66.0766988994692,70.0,66.0766988708923,1.0593749566208424
2025-08-14,FB,-37.5,136.0,205.75,0.660996354799514
2025-08-14,B2,-39.5,57.25,104.33995414862102,0.5486872259734132
2025-08-14,OD,24.0,32.25,42.1060528390589,0.7659231351670154
2025-08-17,OD,2.5,5.75,35.518316081622906,0.16188830536859367
2025-08-18,OD,-41.75,57.0,34.20592501085475,1.6663779734625475
2025-08-19,B2,124.08259391108004,77.75,65.04858003001544,1.1952605262731903
2025-08-19,RV,85.31159779732481,18.0,85.31042393063089,0.21099414550602252
2025-08-19,OD,-148.5,53.75,42.41471715567473,1.2672488137247593
2025-08-20,RV,-118.51333306268862,131.5,118.51332600153607,1.109579862759869
2025-08-20,B2,-93.75,150.25,154.30118196606867,0.9737449712669114
2025-08-20,OD,-1.5,57.5,57.47919644940535,1.0003619318271604
2025-08-21,RV,100.240837299305,44.75,100.24083724625348,0.4464248427022445
2025-08-21,OD,-95.0,15.5,48.438428553912566,0.31999386567110266
2025-08-22,FB,14.75,82.25,350.0,0.235
2025-08-22,B2,59.5,43.0,150.44182647742042,0.2858247670002451
2025-08-24,OD,-29.0,17.75,43.24529106551836,0.4104493128074461
2025-08-25,FB,34.5,23.75,80.0,0.296875
2025-08-25,OD,-162.5,102.5,29.101974581260077,3.5220977777227476
2025-08-26,FB,-38.75,61.75,80.0,0.771875
2025-08-26,OD,-14.25,20.25,31.13487906079708,0.6503959742531141
2025-08-27,OD,68.5,20.5,54.926496329428396,0.37322606337474606
2025-08-28,FB,38.5,62.25,129.25,0.4816247582205029
2025-08-28,OD,-22.25,16.75,33.23708340100378,0.5039551695289286
2025-08-29,RV,83.21504565735813,6.5,83.21504565699226,0.07811087464630656
2025-08-29,RV,11.5,28.25,92.87164651036578,0.3041832578778164
2025-08-31,OD,-106.0,24.75,43.329813889165635,0.5712002378618245
2025-09-01,OD,-10.75,20.75,24.306561869671647,0.8536789411541859
2025-09-02,RV,102.53777786546925,46.25,102.53551810501487,0.45106321062942945
2025-09-02,OD,165.0,32.75,58.37754061194001,0.5610034211222255
2025-09-03,OD,27.5,18.0,43.5517432625258,0.41330148121735794
2025-09-04,FB,57.75,33.0,55.75,0.5919282511210763
2025-09-04,B2,74.6273107996094,39.0,93.89396195449471,0.4153621722651471
2025-09-04,OD,75.5,9.0,37.262893524150485,0.24152713728919098
2025-09-05,RV,-13.0,24.75,115.0223348162355,0.21517560080432757
2025-09-07,OD,-10.0,10.25,47.342569542896115,0.21650704849707594
2025-09-08,FB,-67.5,86.25,95.75,0.9007832898172323
2025-09-08,B2,-86.25,99.5,82.93350084536436,1.1997564191282013
2025-09-08,OD,63.5,32.25,31.882886932427272,1.0115144236577693
2025-09-09,RV,-58.0,69.75,71.00251202214507,0.9823596097310695
2025-09-09,OD,32.5,14.75,36.22879295355257,0.4071347344889564
2025-09-10,RV,-63.67985443415455,65.25,63.67984276583751,1.0246570526239558
2025-09-10,OD,-28.5,33.5,41.37508304517873,0.8096660486075719
2025-09-11,FB,14.75,22.75,178.75,0.12727272727272726
2025-09-11,OD,-47.0,16.5,28.775163667757006,0.573411160767384
2025-09-12,FB,43.0,8.25,65.0,0.12692307692307692
2025-09-12,B2,50.5425235783514,23.0,59.4077255750596,0.3871550337496139
2025-09-14,OD,242.25,27.75,23.31800295594154,1.190067607952214
2025-09-15,FB,57.5,3.25,91.0,0.03571428571428571
2025-09-15,OD,77.0,13.25,26.390004382864888,0.5020840393874003
2025-09-16,OD,-22.75,17.0,23.65879132312565,0.7185489642229984
2025-09-17,OD,48.5,14.5,65.83563052895009,0.2202454792868411
2025-09-18,OD,-49.0,42.0,40.4369031114199,1.0386552077015676
2025-09-21,OD,-34.5,6.75,30.71151555187678,0.2197872647671244
2025-09-22,FB,138.0,28.5,84.25,0.33827893175074186
2025-09-22,OD,-4.5,2.25,26.989613834924885,0.08336540173422093
2025-09-23,B2,62.68759519978266,11.0,68.46003531913313,0.16067768514466035
2025-09-23,OD,14.0,37.5,35.68365294752201,1.050901376469197
2025-09-24,B2,66.35715944799813,0.75,71.33866812210266,0.010513232441013706
2025-09-24,RV,-43.25,63.25,73.1182008350611,0.8650376961911079
2025-09-24,OD,17.0,1.5,33.01862820087291,0.045428901251577274
2025-09-25,RV,99.5872881557334,91.0,99.5872879696802,0.9137712438529841
2025-09-25,OD,-52.0,43.0,53.370409404115634,0.8056899034520817
2025-09-28,OD,135.5,4.0,41.190131071086526,0.09711064024284706
2025-09-29,FB,-87.25,107.0,86.5,1.2369942196531791
2025-09-29,B2,-24.25,70.75,83.86879103763488,0.8435795857394914
2025-09-29,OD,-11.25,23.75,34.15313208597946,0.69539742182972
2025-09-30,RV,-63.548400781917735,69.0,63.547447739525225,1.0858028521117677
2025-09-30,OD,-94.0,37.5,50.55143703525784,0.7418186741920922
2025-10-01,FB,125.0,3.5,93.0,0.03763440860215054
2025-10-01,B2,-54.5,34.0,89.76626202963169,0.3787614548189236
2025-10-01,OD,80.25,21.75,33.35270052147075,0.652121107434718
2025-10-02,OD,62.75,0.75,33.71889682624305,0.02224272056896841
2025-10-03,RV,-40.491098933085595,58.75,40.493936288263875,1.450834504746015
2025-10-03,RV,56.50927272448462,47.25,56.51154446986725,0.8361123455968251
2025-10-03,RV,-2.25,37.75,86.9713212923587,0.4340511267283313
2025-10-05,OD,16.25,9.75,37.203714523941535,0.26207060571130947
2025-10-06,OD,13.5,21.75,32.03902691754683,0.6788595688618798
2025-10-07,B2,82.599375527745,5.5,90.96952361886159,0.060459808749175774
2025-10-07,B2,-53.0,71.5,125.13382676742492,0.5713882636458539
2025-10-07,OD,16.0,19.75,43.773346903393,0.45118779799013087
2025-10-08,FB,149.5,12.25,77.5,0.15806451612903225
2025-10-08,RV,53.4396522825009,33.0,53.43963570806392,0.6175191795893994
2025-10-08,B2,114.60836953569381,18.5,66.7995446350799,0.2769479956946397
2025-10-08,B2,60.50253065267316,0.25,77.04192163506748,0.003244986556594488
2025-10-08,OD,-56.0,32.25,32.939304469615685,0.979073496519894
2025-10-09,RV,62.67407651912801,24.0,62.67407644500521,0.3829334449157674
2025-10-09,B2,67.16818411088025,39.25,78.46098158795247,0.5002486485082002
2025-10-09,OD,22.5,4.5,36.55970114120816,0.12308634533469527
2025-10-10,RV,-54.98568184908072,68.25,54.985681848480866,1.2412322209274487
2025-10-10,FB,-68.5,227.75,66.75,3.411985018726592
2025-10-10,RV,181.8598217099752,21.0,181.859821709617,0.11547355431554067
2025-10-12,OD,142.5,0.0,139.29898064303939,0.0
2025-10-13,FB,-57.0,70.5,56.25,1.2533333333333334
2025-10-13,OD,108.25,21.25,52.095686205130995,0.4079032554888787
2025-10-14,RV,-151.97691909000787,180.75,151.7986750714538,1.1907218552132843
2025-10-14,OD,99.5,62.25,81.44680688866546,0.7643025230576966
2025-10-15,RV,86.99606066141496,1.0,86.99520584037727,0.011494886302526201
2025-10-15,OD,60.25,71.5,75.34203744848026,0.9490053948818747
2025-10-16,B2,-171.75,216.0,147.60047513717538,1.4634099233031344
2025-10-16,OD,-11.0,43.25,100.4649062630567,0.4304985851154279
2025-10-17,FB,-1.0,107.75,205.75,0.5236938031591738
2025-10-19,OD,174.5,80.75,73.17211993655148,1.103562396033071
2025-10-20,FB,116.5,17.25,132.5,0.13018867924528302
2025-10-20,OD,1.75,14.25,32.56557712408902,0.43757861086574024
2025-10-21,RV,-58.88912192229691,69.0,58.77646932051593,1.173939176641145
2025-10-21,OD,67.25,38.25,39.0070073528096,0.9805930420151784
2025-10-22,RV,73.55001870949127,22.75,73.40176976239303,0.309938031108016
2025-10-22,RV,108.42889617520268,19.25,108.3101997696711,0.17773026031653913
2025-10-22,RV,-28.5,31.0,154.21865171777048,0.2010132993299143
2025-10-22,OD,3.5,94.5,73.04552526387451,1.2937137443891589
2025-10-23,FB,140.75,53.25,200.25,0.26591760299625467
2025-10-23,RV,93.11797761355774,76.5,93.11708585257878,0.8215463284698724
2025-10-23,B2,80.0,67.25,134.3417570732514,0.5005889565917406
2025-10-23,OD,67.0,12.25,45.00490936800091,0.2721925268159725
2025-10-24,B2,-23.75,99.75,102.62090995727866,0.9720241229738285
2025-10-24,FB,7.5,21.0,197.0,0.1065989847715736
2025-10-26,OD,72.5,18.5,50.63089016884166,0.36538958604731253
2025-10-27,FB,47.0,6.5,54.5,0.11926605504587157
2025-10-27,OD,-22.75,14.75,27.485496764596615,0.5366466586479568
2025-10-28,FB,87.5,59.0,64.0,0.921875
2025-10-28,RV,64.57974050594201,6.75,64.5785408144251,0.10452388540950484
2025-10-28,OD,157.5,16.5,32.711366526793334,0.504411822309078
2025-10-29,FB,-38.75,38.5,38.0,1.013157894736842
2025-10-29,RV,-53.137942883451615,53.5,53.13792982763843,1.0068137801667472
2025-10-29,OD,170.75,31.75,82.0921009309538,0.3867607192402635
2025-10-30,RV,144.63468122867562,57.5,144.32489826316825,0.39840665534474873
2025-10-30,B2,-53.0,195.75,199.77510089476158,0.9798518390092971
2025-10-30,OD,31.0,3.5,85.23262817203346,0.041064086313701405
2025-10-31,B2,-96.25,116.75,92.31347765194548,1.2647124013699156
2025-11-02,OD,-30.5,23.75,42.69899028526791,0.5562192417508821
2025-11-03,OD,-123.5,41.75,50.78239857786106,0.8221352509765304
2025-11-04,RV,118.2221335051072,18.25,118.21393933414444,0.15438111700528317
