sl,tp,is_trades,is_wr,is_exp,is_pf,is_pnl,is_dd,oos_trades,oos_wr,oos_exp,oos_pf,oos_pnl,oos_dd
3.0,0.5,755,73.25,5.38,1.0376,6777.14,-16086.07,669,75.64,42.67,1.1771,29579.29,-13246.25
3.0,0.75,686,65.45,-6.52,0.9924,-1667.59,-18167.95,606,69.8,70.59,1.234,43803.21,-14867.5
3.0,1.0,630,60.0,2.39,1.0187,4241.79,-18417.86,547,65.27,62.87,1.1751,35463.93,-16727.14
3.0,1.25,595,56.13,-0.58,1.0102,2403.3,-25762.14,502,59.96,36.25,1.0949,20353.93,-18061.16
3.0,1.5,570,52.46,2.28,1.0166,3995.54,-25459.82,477,57.44,35.43,1.087,19079.11,-20371.25
3.0,1.75,541,50.28,14.96,1.045,10798.75,-22594.29,454,56.17,33.24,1.0793,17308.04,-20237.14
3.0,2.0,515,48.74,19.33,1.0536,12670.36,-27873.57,444,53.38,18.75,1.0473,10488.57,-22301.79
3.0,2.25,500,48.4,52.86,1.129,29085.45,-21921.25,433,52.66,10.34,1.0304,6630.0,-24957.95
3.0,2.5,482,47.72,42.68,1.1056,23223.04,-22557.32,427,52.22,35.36,1.081,17201.07,-26086.96
3.0,2.75,467,46.9,38.8,1.0956,20783.57,-25103.84,418,51.2,35.42,1.0792,16921.7,-25223.3
3.0,3.0,463,46.22,39.12,1.0952,20773.93,-25465.71,413,51.09,64.81,1.1363,28885.36,-23003.21
