sl_mult,tp_mult,RR,no_n,no_wr,no_pf,no_total_pts,no_mdd_pts,no_avg_win,no_avg_loss,no_payoff,mart_n,mart_wr,mart_pf,mart_total_pts,mart_mdd_pts,mart_total_mnq_$,mart_mdd_mnq_$,tp_n,sl_n,fc_n
1.5,4.0,2.6666666666666665,802,34.91271820448878,1.12260863018862,2531.237704403904,-1182.9325964357395,82.77176875871439,-39.549535532636256,2.0928632319944986,802,34.91271820448878,1.1094526439669328,2313.8271078200373,-1191.817481493852,4627.654215640075,-2383.634962987704,169,0,127
1.5,4.25,2.8333333333333335,796,34.04522613065327,1.1055036174275878,2193.9513892977548,-1214.0957181442982,84.83020710852608,-39.609589975452984,2.141658299444589,796,34.04522613065327,1.0900658869075746,1925.1268781044848,-1303.1544931912445,3850.2537562089697,-2606.308986382489,158,0,132
1.5,4.5,3.0,788,33.50253807106599,1.1053918724429797,2176.9581559510443,-1144.3087445105075,86.48788982607243,-39.41955106513755,2.194035383182278,788,33.50253807106599,1.0956620294006114,2038.975351596459,-1279.0959880806504,4077.950703192918,-2558.1919761613008,145,0,141
1.5,4.75,3.1666666666666665,784,33.41836734693878,1.1208398523556016,2487.4014120745906,-1188.104150108717,88.05985448752475,-39.4334874782699,2.2331236753039088,784,33.41836734693878,1.1118616179188505,2376.2539862509616,-1322.8913936788595,4752.507972501923,-2645.782787357719,135,0,149
1.5,5.0,3.3333333333333335,780,33.07692307692307,1.128574375439571,2642.5418541066074,-1168.735324509113,89.90377556486594,-39.37285870043832,2.2833946665870384,780,33.07692307692307,1.1206077738613363,2558.2298068139353,-1303.5225680792555,5116.459613627871,-2607.045136158511,124,0,156
1.75,3.0,1.7142857142857142,825,39.87878787878788,1.0518624162821106,1160.4114489381625,-1422.4360062259022,71.53561217769776,-45.11049386597661,1.5857864999268296,825,39.87878787878788,1.038400117436693,884.9841310657648,-1700.3300864042333,1769.9682621315296,-3400.6601728084665,270,0,79
1.75,3.25,1.8571428571428572,821,39.2204628501827,1.0782166845603711,1761.0216914879893,-1344.1652487017861,75.39030121192586,-45.11954969689808,1.6709010111665377,821,39.2204628501827,1.0654574301083442,1517.71178941107,-1606.689968428901,3035.42357882214,-3213.379936857802,245,0,97
1.75,3.5,2.0,815,38.40490797546012,1.0552308919472766,1257.6682508805175,-1509.7213722970491,76.76923268623447,-45.36076011934436,1.6924150407588912,815,38.40490797546012,1.0406881191084987,955.9316331214916,-1847.420863050535,1911.8632662429832,-3694.84172610107,219,0,115
1.75,3.75,2.142857142857143,799,38.04755944931164,1.090111782355114,2024.8168062924337,-1260.5635784841297,80.57523987816114,-45.394052760946565,1.7750175403479656,799,38.04755944931164,1.0769492267072036,1782.2778585652163,-1531.3562607996125,3564.5557171304326,-3062.712521599225,200,0,125
1.75,4.0,2.2857142857142856,789,37.6425855513308,1.0905898950352781,2026.8303722539845,-1410.5323147029521,82.1566395873512,-45.47498289672625,1.8066337655129863,789,37.6425855513308,1.0804035062003798,1851.38257269621,-1630.981904193254,3702.76514539242,-3261.963808386508,177,0,140
1.75,4.25,2.4285714285714284,783,36.7816091954023,1.0741493684769814,1670.218237540944,-1307.0898484573295,84.0113482871721,-45.50515165487803,1.8461942270698115,783,36.7816091954023,1.06000938330865,1399.2892861101911,-1558.1971115819208,2798.5785722203823,-3116.3942231638416,164,0,148
1.75,4.5,2.5714285714285716,775,36.25806451612903,1.0784044261736505,1753.0441801400098,-1392.655852040783,85.80796894600392,-45.26112367143138,1.8958426566896203,775,36.25806451612903,1.0693340632803272,1611.5899204450793,-1664.231718417467,3223.1798408901586,-3328.463436834934,152,0,156
1.75,4.75,2.7142857142857144,769,36.28088426527958,1.0926655164672943,2055.689239708727,-1201.7263163849943,86.88050689432768,-45.27341262001775,1.9190182905698001,769,36.28088426527958,1.0846534036604034,1952.8539424915944,-1462.1906828402637,3905.7078849831887,-2924.3813656805273,140,0,166
1.75,5.0,2.857142857142857,767,35.853976531942635,1.0975612132383936,2168.683871299341,-1193.5983677298882,88.71868876070651,-45.180803938810875,1.9636367887755988,767,35.853976531942635,1.0949652950588094,2195.0089434994316,-1442.9512342637377,4390.017886998863,-2885.9024685274753,129,0,174
2.0,3.0,1.5,801,42.82147315855181,1.0573679951313946,1322.4659207434036,-1406.2263225926572,71.06354320697409,-50.33259694159107,1.4118791305253022,801,42.82147315855181,1.048506797143051,1166.026074410104,-1758.6111673139048,2332.052148820208,-3517.2223346278097,275,0,98
2.0,3.25,1.625,797,42.28356336260979,1.0930184800332263,2154.15859309282,-1231.1883635310355,75.11143149112044,-50.3443343900321,1.4919540083539586,797,42.28356336260979,1.0855665613738175,2065.9592940384546,-1513.4124909991929,4131.918588076909,-3026.8249819983857,251,0,116
2.0,3.5,1.75,791,41.340075853350186,1.0577950695252332,1359.5291520777819,-1374.0504838535858,76.09419372760017,-50.696707320791965,1.5009691506413094,791,41.340075853350186,1.0461677484464738,1136.0289393632916,-1675.9554505067204,2272.057878726583,-3351.9109010134407,223,0,135
2.0,3.75,1.875,776,41.108247422680414,1.0978147463407626,2268.8667709021543,-1195.1368813757708,79.8257557045678,-50.75612538042664,1.5727314704630988,776,41.108247422680414,1.088287796277853,2140.3619785515316,-1350.3796438171778,4280.723957103063,-2700.7592876343556,205,0,145
2.0,4.0,2.0,764,40.70680628272251,1.0915327184587076,2110.4226002746514,-1336.0360079761872,80.9225272117422,-50.89731426617478,1.589917432353037,764,40.70680628272251,1.0867004005401526,2085.9343461594785,-1454.9626415368516,4171.868692318957,-2909.925283073703,179,0,162
2.0,4.25,2.125,759,39.789196310935445,1.0733344181432607,1703.8513683356566,-1354.1543361386573,82.5756440794939,-50.84024757914989,1.6242179771240732,759,39.789196310935445,1.0704560080901437,1710.7699449938427,-1461.9694697779028,3421.5398899876855,-2923.9389395558055,165,0,171
