delta,lowz,sl,tp,n_is,n_oos,pf_is,pf_oos,wr_is,wr_oos,pnl_is,pnl_oos,mdd_is,mdd_oos
50,0.9,1.0,2.0,2067,556,1.0153139054347056,1.0975596879983929,39.52588292210934,39.74820143884892,14380.348894296149,30768.983791705396,-36181.281724322216,-25070.202403168223
50,0.9,1.0,2.25,2008,546,1.0272338523393536,1.0462281318615756,38.04780876494024,37.54578754578755,25382.628757875136,14895.670428556914,-31381.49981045888,-26627.233151471955
50,0.9,1.0,2.5,1966,540,1.0238971967044357,1.0374972920840733,36.876907426246184,36.111111111111114,22170.881642770473,12186.990510255491,-32619.83154182817,-27521.16523346529
50,0.9,1.0,2.75,1931,536,1.0317284466021723,1.0211050944590818,35.73278094251683,34.32835820895522,29253.401495313556,6961.309356593192,-31147.098529817522,-36526.14700853075
50,0.9,1.0,3.0,1912,524,1.0338184854095311,1.0591975498890784,35.19874476987448,33.587786259541986,31147.680111246373,19379.765802747424,-29631.521119127356,-29676.0948843832
50,0.9,1.25,1.0,2248,603,1.0525752511597943,0.9644813162735132,56.53914590747331,53.233830845771145,46781.08631707884,-11354.173430281808,-31216.97728521467,-26454.267591186363
50,0.9,1.25,1.25,2146,590,0.9903216540820041,1.0323329689011052,50.97856477166822,50.16949152542373,-9265.755102854455,10734.659998948118,-34968.87168689984,-20972.367756830135
50,0.9,1.25,1.5,2074,562,0.9690276466462711,1.0477251721726069,47.58919961427194,48.39857651245551,-30747.630286070962,15902.516957196713,-51154.329641536024,-22908.317366419724
50,0.9,1.25,1.75,2020,549,0.9869397897763152,1.0967435200601756,45.693069306930695,47.17668488160292,-13050.619031645692,32404.10471700001,-41441.38459228012,-23938.728666354582
50,0.9,1.25,2.0,1977,539,1.0032998907829658,1.1091328522498043,44.05665149215984,45.083487940630796,3315.293279294274,37060.1648889498,-41428.182852581085,-29408.19915450804
50,0.9,1.25,2.25,1916,527,1.0132610047926602,1.06135153128251,42.536534446764094,42.69449715370019,13250.38584813472,21152.597057520034,-38142.55862820002,-29869.61270150925
50,0.9,1.25,2.5,1873,519,0.9962458216241499,1.0672237692231812,41.11051788574479,41.23314065510597,-3753.384428594145,23160.5467754227,-50021.42646610762,-29844.083295303863
50,0.9,1.25,2.75,1835,513,1.0055629744672172,1.0545859007164615,39.94550408719346,39.76608187134503,5525.447480401963,19105.976566820755,-40509.656514289236,-34073.372718192695
50,0.9,1.25,3.0,1813,500,1.009072230048014,1.095680116565379,39.32708218422504,39.0,8991.2347845978,33210.51787201679,-39515.63142728599,-28592.47540664277
50,0.9,1.5,1.0,2187,592,1.0467793611565115,0.9860173258645166,59.85368084133516,56.92567567567568,42837.354402988894,-4583.765688247731,-37417.22033881393,-26869.406101507557
50,0.9,1.5,1.25,2065,576,0.9863204934103514,1.063349244385625,54.33414043583535,54.166666666666664,-13464.271154176095,21380.59035831,-46258.92916211633,-22133.146884646776
50,0.9,1.5,1.5,1985,546,0.9748708895565807,1.1001082225106873,51.032745591939545,52.93040293040293,-25526.886162422597,33437.300906036035,-49778.294527657854,-25461.930880075233
50,0.9,1.5,1.75,1925,533,0.9956065120505388,1.140800179493215,49.246753246753244,51.78236397748593,-4499.437052955946,47748.856168478014,-36010.55716066974,-25633.670681397634
