sl_mult,tp_mult,no_n,no_total_pts,no_wr,no_pf,no_mdd_pts,no_avg,no_tp,no_sl,no_fc,mart_n,mart_total_pts,mart_wr,mart_pf,mart_mdd_pts,mart_avg,mart_total_mnq_$,mart_mdd_mnq_$
2.0,1.0,951,-1554.8923970952333,63.82754994742377,0.9121665491330594,-1958.3116021490239,-1.6350077782284262,607,0,8,951,-1680.7098951444507,63.82754994742377,0.9061584505825361,-2129.4719339954595,-1.7673079864820722,-3361.4197902889014,-4258.943867990919
2.0,1.25,926,-302.41559999501163,60.15118790496761,0.9839399221677236,-1279.0735587176368,-0.3265827213769024,555,0,14,926,-363.55587135121596,60.15118790496761,0.9809629478744579,-1469.0928788260417,-0.39260893234472566,-727.1117427024319,-2938.1857576520833
2.0,1.5,900,-142.609853515991,55.77777777777778,0.992950547767344,-1432.5334604317786,-0.15845539279554557,494,0,24,900,-144.23427232239072,55.77777777777778,0.9929878861903403,-1633.709053912598,-0.16026030258043414,-288.46854464478145,-3267.418107825196
2.0,1.75,877,-1871.2927148955876,50.62713797035347,0.9154743926505854,-2653.4820346656716,-2.1337431184670326,428,0,37,877,-1760.7673399898886,50.62713797035347,0.9221359618754973,-2538.600684689569,-2.0077164652108195,-3521.534679979777,-5077.201369379138
2.0,2.0,854,82.1000079476126,49.88290398126464,1.003765570244498,-1452.1027665015617,0.09613584068807096,403,0,45,854,68.53321968445948,49.88290398126464,1.0030550541716745,-1557.3404031801101,0.08024967176166216,137.06643936891896,-3114.6808063602202
2.0,2.25,842,-218.19366299725618,46.912114014251785,0.9903515963222252,-1719.4171293848597,-0.25913736698011425,364,0,58,842,-348.605422770568,46.912114014251785,0.9851541251033018,-1905.9958123875977,-0.41402069212656534,-697.210845541136,-3811.9916247751953
2.0,2.5,828,-431.26682112967137,44.44444444444444,0.9813379701054266,-2151.987869321776,-0.5208536487073325,324,0,74,828,-775.039467721602,44.44444444444444,0.9679022818318632,-2527.39159212552,-0.9360380044946884,-1550.078935443204,-5054.78318425104
2.0,2.75,817,600.5655233464926,43.696450428396574,1.0258896918263527,-1779.9463328922216,0.7350863198855478,305,0,82,817,381.7069946232898,43.696450428396574,1.0157877961555488,-2101.0288768246983,0.4672056237739165,763.4139892465796,-4202.057753649397
2.0,3.0,801,1322.4659207434036,42.82147315855181,1.0573679951313946,-1406.2263225926572,1.6510186276446985,275,0,98,801,1166.026074410104,42.82147315855181,1.048506797143051,-1758.6111673139048,1.4557129518228515,2332.052148820208,-3517.2223346278097
2.0,3.25,797,2154.15859309282,42.28356336260979,1.0930184800332263,-1231.1883635310355,2.7028338683724216,251,0,116,797,2065.9592940384546,42.28356336260979,1.0855665613738175,-1513.4124909991929,2.592169754126041,4131.918588076909,-3026.8249819983857
