date,strat,tp,mae_pre,flat_pnl
2025-03-13,RV,1,965.0,4520.0
2025-03-13,OD,1,545.0,870.0
2025-03-14,RV,0,2895.0,-665.0
2025-03-14,FB,0,3205.0,-1965.0
2025-03-14,B2,1,990.0,3745.0
2025-03-16,OD,1,275.0,4635.0
2025-03-17,OD,0,1255.0,-1185.0
2025-03-18,OD,1,250.0,610.0
2025-03-19,FB,0,3120.0,-1320.0
2025-03-19,OD,1,50.0,805.0
2025-03-20,OD,1,130.0,495.0
2025-03-23,OD,1,130.0,1620.0
2025-03-24,FB,1,170.0,10.0
2025-03-24,OD,0,420.0,-270.0
2025-03-25,RV,0,1210.0,-420.0
2025-03-25,OD,0,345.0,-295.0
2025-03-26,RV,1,480.0,670.0
2025-03-26,OD,1,10.0,2010.0
2025-03-27,RV,0,2460.0,-1770.0
2025-03-27,B2,0,3215.0,-2530.0
2025-03-27,OD,0,930.0,-890.0
2025-03-28,RV,1,55.0,1885.0
2025-03-30,OD,0,2405.0,-2255.0
2025-03-31,RV,0,3490.0,-2645.0
2025-03-31,FB,1,880.0,550.0
2025-03-31,OD,1,1915.0,1215.0
2025-04-01,RV,1,245.0,3020.0
2025-04-01,FB,1,435.0,-825.0
2025-04-01,B2,1,300.0,-3435.0
2025-04-01,OD,0,1835.0,-1335.0
2025-04-02,RV,1,510.0,1815.0
2025-04-02,FB,1,1085.0,2965.0
2025-04-02,B2,1,60.0,-3540.0
2025-04-02,OD,1,890.0,3765.0
2025-04-03,OD,1,255.0,-1525.0
2025-04-04,RV,1,1740.0,4985.0
2025-04-06,OD,1,585.0,5075.0
2025-04-07,RV,0,16385.0,-6475.0
2025-04-07,FB,1,190.0,5670.0
2025-04-07,OD,1,950.0,-1430.0
2025-04-08,FB,1,2205.0,-6175.0
2025-04-08,OD,1,2360.0,3230.0
2025-04-09,FB,1,1490.0,29720.0
2025-04-09,OD,0,5920.0,-5865.0
2025-04-10,OD,0,7725.0,-5405.0
2025-04-13,OD,1,1685.0,1965.0
2025-04-14,OD,1,700.0,3050.0
2025-04-15,RV,1,465.0,-825.0
2025-04-15,FB,1,1260.0,-1850.0
2025-04-15,OD,0,3115.0,-2905.0
2025-04-16,OD,1,1345.0,2440.0
2025-04-17,RV,1,115.0,785.0
2025-04-20,OD,1,595.0,-855.0
2025-04-21,OD,1,285.0,2800.0
2025-04-22,FB,1,960.0,-200.0
2025-04-22,B2,1,1005.0,1685.0
2025-04-22,OD,0,2275.0,-2200.0
2025-04-23,FB,1,2000.0,-3395.0
2025-04-23,OD,1,375.0,-1305.0
2025-04-24,FB,1,50.0,6275.0
2025-04-24,RV,1,140.0,1790.0
2025-04-24,B2,1,425.0,2920.0
2025-04-24,OD,1,240.0,-495.0
2025-04-25,FB,1,205.0,1320.0
2025-04-27,OD,1,1105.0,1510.0
2025-04-28,OD,1,115.0,2135.0
2025-04-29,RV,1,800.0,825.0
2025-04-29,FB,1,2130.0,2030.0
2025-04-29,OD,0,1410.0,-1080.0
2025-04-30,RV,0,3380.0,-2780.0
2025-04-30,B2,1,200.0,5410.0
2025-04-30,OD,1,10.0,1995.0
2025-05-01,FB,1,475.0,-2135.0
2025-05-01,B2,1,1120.0,-2500.0
2025-05-01,OD,1,1190.0,2575.0
2025-05-02,FB,1,115.0,885.0
2025-05-04,OD,0,2305.0,-2055.0
2025-05-05,FB,1,730.0,1050.0
2025-05-05,OD,0,1445.0,-1385.0
2025-05-06,RV,1,45.0,-110.0
