atr_n,sl_mult,tp_mult,rr,n_all,wr_strict_all,wr_inc_fc_all,net_all,pf_all,mdd_all,is_n,wr_strict_is,wr_inc_fc_is,net_is,pf_is,oos_n,wr_strict_oos,wr_inc_fc_oos,net_oos,pf_oos,robust_1to1
21,2.0,2.0,1.0,1386,47.90764790764791,53.535353535353536,114561.30918253375,1.1187858001122117,-29068.044636523788,831,48.49578820697955,53.42960288808665,60257.02633858232,1.1204974655906828,555,47.02702702702703,53.69369369369369,54304.282843951434,1.1169425379546905,True
21,2.0,3.0,1.5,1386,30.59163059163059,45.887445887445885,97733.89338396545,1.08884797998266,-59808.62190627218,831,31.046931407942242,45.12635379061371,44931.05270321038,1.0776696725323125,555,29.90990990990991,47.02702702702703,52802.84068075503,1.1012472825770636,False
21,2.0,4.0,2.0,1386,18.398268398268396,43.506493506493506,108522.88521965739,1.0955155802578966,-48117.593117558594,831,18.050541516245488,41.997593261131165,22208.306702936876,1.0366629456519099,555,18.91891891891892,45.765765765765764,86314.5785167205,1.1627234131138187,False
21,2.25,2.25,1.0,1386,44.877344877344875,53.46320346320347,100588.24671690544,1.095070597570425,-38653.358368006884,831,45.48736462093863,52.82791817087846,44466.496445676166,1.0797762135685152,555,43.96396396396396,54.414414414414416,56121.75027122929,1.1120984502674034,True
21,2.25,3.38,1.5,1386,26.551226551226552,47.69119769119769,106345.79116947898,1.0915062030490308,-43316.036399517834,831,26.113116726835138,46.450060168471715,26187.88348850987,1.0421081843406794,555,27.207207207207208,49.549549549549546,80157.90768096912,1.1483715463337913,False
21,2.25,4.5,2.0,1386,15.151515151515152,45.74314574314574,121056.84534874039,1.1015027432780335,-37114.962329004135,831,15.162454873646208,44.28399518652226,24078.954719112575,1.0375573776973868,555,15.135135135135137,47.927927927927925,96977.89062962783,1.1758369916241824,False
21,2.5,2.5,1.0,1386,40.909090909090914,53.318903318903324,94658.86106580168,1.0834821032792414,-59825.51761098627,831,41.15523465703971,52.105896510228646,23489.129353726217,1.038674263663198,555,40.54054054054054,55.13513513513514,71169.73171207549,1.1351690356920203,True
21,2.5,3.75,1.5,1386,22.7994227994228,48.55699855699856,108593.4250035777,1.0887381665779414,-64641.83055081236,831,21.540312876052948,46.81107099879663,-4035.105124410445,0.9939357364824997,555,24.684684684684687,51.17117117117117,112628.53012798808,1.201713012482735,False
21,2.5,5.0,2.0,1386,11.255411255411255,47.54689754689755,127638.66777822556,1.1032351592602485,-43439.331516431375,831,11.432009626955475,45.96871239470517,19630.237499999166,1.0292981712366662,555,10.99099099099099,49.90990990990991,108008.43027822637,1.1907023530106975,False
21,2.75,2.75,1.0,1386,37.66233766233766,53.96825396825397,129486.82217674507,1.110251027378512,-54426.95704382203,831,38.1468110709988,52.58724428399518,42292.47073322353,1.0669722358362768,555,36.93693693693694,56.03603603603604,87194.35144352156,1.160584797589618,True
21,2.75,4.12,1.5,1386,18.975468975468974,49.855699855699854,124669.29071742168,1.0999871610091017,-46201.373383587146,831,18.29121540312876,48.25511432009627,10840.665919221756,1.0159527575406937,555,20.0,52.25225225225225,113828.62479819995,1.2006480549038565,False
21,2.75,5.5,2.0,1386,8.297258297258297,49.06204906204906,129095.89107473621,1.1025670659362439,-54703.962804675284,831,8.062575210589651,47.41275571600481,9459.056531342294,1.0138002280849052,555,8.64864864864865,51.53153153153153,119636.83454339392,1.2087097821568749,False
21,3.0,3.0,1.0,1386,33.4054834054834,53.6075036075036,109307.62683083981,1.089152142209964,-61621.69590831974,831,33.2129963898917,52.226233453670275,22009.208030847436,1.0332567389511225,555,33.693693693693696,55.67567567567567,87298.41879999239,1.1547068834557401,True
21,3.0,4.5,1.5,1386,15.728715728715729,50.79365079365079,127554.25280388255,1.100016247477501,-44831.262143600936,831,15.523465703971121,49.09747292418773,14191.024645244308,1.0204774801996075,555,16.036036036036037,53.333333333333336,113363.22815863823,1.194672156603213,False
21,3.0,6.0,2.0,1386,7.07070707070707,50.144300144300146,129039.75836192098,1.100514155261897,-50304.60406860332,831,6.859205776173286,48.49578820697955,15275.552412964305,1.0219255416434667,555,7.3873873873873865,52.61261261261261,113764.20594895669,1.1937745785827016,False
