k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
1.0,drift_floor,1.0,0.3,True,1.0,0.3,1.183488327955969,1.024630331955512,1.1086485184292942,27060.0,-19435.0,709,1.024630331955512
1.0,drift_floor,1.0,0.3,False,0.5,0.0,1.3041341099588009,1.3945047737045404,1.3437265513993326,107650.0,-16525.0,709,1.3041341099588009
1.0,drift_floor,1.0,0.3,False,0.5,0.3,1.3025438294946716,1.0604024283150701,1.1878222173983828,51915.0,-21190.0,709,1.0604024283150701
1.0,drift_floor,1.0,0.3,False,1.0,0.0,1.3041341099588009,1.3945047737045404,1.3437265513993326,107650.0,-16525.0,709,1.3041341099588009
1.0,drift_floor,1.0,0.3,False,1.0,0.3,1.3025438294946716,1.0604024283150701,1.1878222173983828,51915.0,-21190.0,709,1.0604024283150701
1.0,drift_floor,1.0,0.5,True,0.5,0.0,1.3089838909541511,1.2727499554446622,1.2921355763652937,88130.0,-18870.0,709,1.2727499554446622
1.0,drift_floor,1.0,0.5,True,0.5,0.3,1.2096953113444757,1.0057327412192167,1.1121897556644922,29065.0,-17305.0,709,1.0057327412192167
1.0,drift_floor,1.0,0.5,True,1.0,0.0,1.2929782082324455,1.2661270542065244,1.2804499231599253,85770.0,-18790.0,709,1.2661270542065244
1.0,drift_floor,1.0,0.5,True,1.0,0.3,1.2062163557259789,1.0057327412192167,1.1105179989208356,28675.0,-17455.0,709,1.0057327412192167
1.0,drift_floor,1.0,0.5,False,0.5,0.0,1.3259789254585663,1.3517464937814236,1.3373236052252173,115815.0,-19070.0,709,1.3259789254585663
1.0,drift_floor,1.0,0.5,False,0.5,0.3,1.2914668912789944,1.1189605243103184,1.2121970864266705,60595.0,-18920.0,709,1.1189605243103184
1.0,drift_floor,1.0,0.5,False,1.0,0.0,1.2812997539441309,1.3467368354709608,1.3096724828179869,113320.0,-20375.0,709,1.2812997539441309
1.0,drift_floor,1.0,0.5,False,1.0,0.3,1.2101496238271015,1.16688084529164,1.1910618395981292,60665.0,-18590.0,709,1.16688084529164
1.0,drift_floor,1.0,0.7,True,0.5,0.0,1.3098641887062188,1.3923020527859238,1.346818719600368,105530.0,-19405.0,709,1.3098641887062188
1.0,drift_floor,1.0,0.7,True,0.5,0.3,1.2573602972702587,1.0736427817901486,1.171334118630543,45090.0,-15745.0,709,1.0736427817901486
1.0,drift_floor,1.0,0.7,True,1.0,0.0,1.2884465148577877,1.3033117651151465,1.2951964237762017,93440.0,-21065.0,709,1.2884465148577877
1.0,drift_floor,1.0,0.7,True,1.0,0.3,1.2904150302515656,1.0613731202267538,1.1819994409764278,48835.0,-19855.0,709,1.0613731202267538
1.0,drift_floor,1.0,0.7,False,0.5,0.0,1.3476439790575916,1.3901630562158904,1.366300850632465,124665.0,-19070.0,709,1.3476439790575916
1.0,drift_floor,1.0,0.7,False,0.5,0.3,1.2828501323690837,1.0959584640669355,1.1962040660824993,56650.0,-21285.0,709,1.0959584640669355
1.0,drift_floor,1.0,0.7,False,1.0,0.0,1.2939807595422594,1.3245332599993889,1.3074183577476146,114375.0,-19500.0,709,1.2939807595422594
1.0,drift_floor,1.0,0.7,False,1.0,0.3,1.2001678321678322,1.161362347604196,1.1830503705093331,58545.0,-18590.0,709,1.161362347604196
1.5,pure_ratchet,0.0,0.0,True,0.5,0.0,1.3579437640158702,1.2421220712353764,1.3036551650399426,99400.0,-19210.0,709,1.2421220712353764
1.5,pure_ratchet,0.0,0.3,True,0.5,0.0,1.2511874623267027,1.4568186189651857,1.3394569899131679,123340.0,-16930.0,709,1.2511874623267027
1.5,pure_ratchet,0.0,0.3,True,0.5,0.3,1.3286595013366795,1.4997711509347604,1.4033599237638523,131215.0,-15295.0,709,1.3286595013366795
1.5,pure_ratchet,0.0,0.3,True,1.0,0.0,1.2410966107366508,1.4382772988962753,1.3256956480205249,119330.0,-17870.0,709,1.2410966107366508
1.5,pure_ratchet,0.0,0.3,True,1.0,0.3,1.3299839337744737,1.4835893854748603,1.397288986123648,129840.0,-15295.0,709,1.3299839337744737
