N,k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
5,1.0,drift_floor,0.0,0.7,True,0.5,0.3,1.3341741110527239,1.1413855864926616,1.2426059446733373,65950.0,-15530.0,709,1.1413855864926616
5,1.0,drift_floor,0.0,0.7,True,1.0,0.0,1.3508381423467986,1.34505204031059,1.3482109369139599,116050.0,-15755.0,709,1.34505204031059
5,1.0,drift_floor,0.0,0.7,True,1.0,0.3,1.36290128341878,1.1379858456647618,1.255794254406517,70965.0,-18870.0,709,1.1379858456647618
5,1.0,drift_floor,0.0,0.7,False,0.5,0.0,1.378245668157746,1.4638749041443004,1.4155259758168701,143130.0,-18305.0,709,1.378245668157746
5,1.0,drift_floor,0.0,0.7,False,0.5,0.3,1.3274484296599145,1.189799941588785,1.2642682395522638,78855.0,-16095.0,709,1.189799941588785
5,1.0,drift_floor,0.0,0.7,False,1.0,0.0,1.3500392847789338,1.4193194960131474,1.3804485766574492,142400.0,-17275.0,709,1.3500392847789338
5,1.0,drift_floor,0.0,0.7,False,1.0,0.3,1.2415437987857763,1.2895744680851065,1.2623509893080989,85390.0,-18420.0,709,1.2415437987857763
5,1.0,drift_floor,1.0,0.0,True,0.5,0.0,1.1820448002247033,1.2244577566618466,1.201529789132044,53090.0,-14595.0,709,1.1820448002247033
5,1.0,drift_floor,1.0,0.3,True,0.5,0.0,1.2721440261865793,1.2474613519248257,1.2607038741175232,74225.0,-14620.0,709,1.2474613519248257
5,1.0,drift_floor,1.0,0.3,True,0.5,0.3,1.246743468112341,1.1163636363636364,1.1857139996395458,46370.0,-11390.0,709,1.1163636363636364
5,1.0,drift_floor,1.0,0.3,True,1.0,0.0,1.2721440261865793,1.2474613519248257,1.2607038741175232,74225.0,-14620.0,709,1.2474613519248257
5,1.0,drift_floor,1.0,0.3,True,1.0,0.3,1.246743468112341,1.1163636363636364,1.1857139996395458,46370.0,-11390.0,709,1.1163636363636364
5,1.0,drift_floor,1.0,0.3,False,0.5,0.0,1.2969589541904392,1.5056680161943319,1.3865762690435552,122305.0,-14490.0,709,1.2969589541904392
5,1.0,drift_floor,1.0,0.3,False,0.5,0.3,1.365551214540513,1.1293350422195416,1.253578257062702,70955.0,-17070.0,709,1.1293350422195416
5,1.0,drift_floor,1.0,0.3,False,1.0,0.0,1.2969589541904392,1.5056680161943319,1.3865762690435552,122305.0,-14490.0,709,1.2969589541904392
5,1.0,drift_floor,1.0,0.3,False,1.0,0.3,1.365551214540513,1.1293350422195416,1.253578257062702,70955.0,-17070.0,709,1.1293350422195416
5,1.0,drift_floor,1.0,0.5,True,0.5,0.0,1.2897706698853348,1.3599498477521046,1.321857341741053,98255.0,-14990.0,709,1.2897706698853348
5,1.0,drift_floor,1.0,0.5,True,0.5,0.3,1.2652783898927575,1.057313122425309,1.165725335528709,43280.0,-12180.0,709,1.057313122425309
5,1.0,drift_floor,1.0,0.5,True,1.0,0.0,1.281377612298823,1.3518081622592344,1.3137934946436964,96810.0,-14990.0,709,1.281377612298823
5,1.0,drift_floor,1.0,0.5,True,1.0,0.3,1.2513075693738196,1.057313122425309,1.1589797278005138,41760.0,-12180.0,709,1.057313122425309
5,1.0,drift_floor,1.0,0.5,False,0.5,0.0,1.323013839056894,1.4614867815512782,1.3829391327101717,131710.0,-17930.0,709,1.323013839056894
5,1.0,drift_floor,1.0,0.5,False,0.5,0.3,1.3412601364396963,1.2079456113031257,1.2801149725633656,80400.0,-16915.0,709,1.2079456113031257
5,1.0,drift_floor,1.0,0.5,False,1.0,0.0,1.2802688452952073,1.4658456802001154,1.3592266128151949,131635.0,-18015.0,709,1.2802688452952073
5,1.0,drift_floor,1.0,0.5,False,1.0,0.3,1.2633089476646033,1.2662096337723254,1.264579875108687,83680.0,-18515.0,709,1.2633089476646033
5,1.0,drift_floor,1.0,0.7,True,0.5,0.0,1.3232821530737346,1.4833738848337388,1.3940277596767887,120935.0,-14220.0,709,1.3232821530737346
5,1.0,drift_floor,1.0,0.7,True,0.5,0.3,1.3211306765523634,1.1474757126931039,1.2391009968027082,63565.0,-13570.0,709,1.1474757126931039
5,1.0,drift_floor,1.0,0.7,True,1.0,0.0,1.3254788558994475,1.405536942338212,1.3613507790524952,114335.0,-15025.0,709,1.3254788558994475
5,1.0,drift_floor,1.0,0.7,True,1.0,0.3,1.3415616246498598,1.1307151683657708,1.241295724988982,65700.0,-16910.0,709,1.1307151683657708
5,1.0,drift_floor,1.0,0.7,False,0.5,0.0,1.3443341498001804,1.5131327602674307,1.416998281963554,141990.0,-17890.0,709,1.3443341498001804
5,1.0,drift_floor,1.0,0.7,False,0.5,0.3,1.3302318145483614,1.1832669322709164,1.2623339984862039,76250.0,-16915.0,709,1.1832669322709164
5,1.0,drift_floor,1.0,0.7,False,1.0,0.0,1.3015529501296106,1.4395822973644952,1.3613876726170429,134120.0,-17140.0,709,1.3015529501296106
5,1.0,drift_floor,1.0,0.7,False,1.0,0.3,1.2416131532329495,1.259913314467887,1.2495901319384808,79925.0,-18515.0,709,1.2416131532329495
5,1.5,pure_ratchet,0.0,0.0,True,0.5,0.0,1.346785873440285,1.33248730964467,1.3402836836350382,112035.0,-16450.0,709,1.33248730964467
5,1.5,pure_ratchet,0.0,0.3,True,0.5,0.0,1.3034007769118945,1.5424580281324949,1.4046968344434525,147340.0,-15400.0,709,1.3034007769118945
5,1.5,pure_ratchet,0.0,0.3,True,0.5,0.3,1.3133124510571652,1.59950948568131,1.4334756799321582,143125.0,-13725.0,709,1.3133124510571652
5,1.5,pure_ratchet,0.0,0.3,True,1.0,0.0,1.2929779793970324,1.5230393260233448,1.390422619615107,143330.0,-15735.0,709,1.2929779793970324
5,1.5,pure_ratchet,0.0,0.3,True,1.0,0.3,1.303397493863842,1.5820906197475235,1.4202915941681167,140100.0,-13725.0,709,1.303397493863842
