force_hour,atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_gross_$,IS_PF,IS_maxDD_$,OOS_trades,OOS_win%,OOS_gross_$,OOS_PF,OOS_maxDD_$,FULL_trades,FULL_win%,FULL_gross_$,FULL_PF,FULL_maxDD_$,robust_PF
10,12,2.9,0.68,drift_floor,2.67,107.8,0.84,0.3,False,1.27,0.13,762,51.83727034120735,-24035.0,0.9704190076490895,-109340.0,622,53.37620578778135,145015.0,1.176790427483801,-65625.0,1384,52.52890173410405,120980.0,1.0740944891534683,-109340.0,0.9704190076490895
16,10,1.68,0.0,pure_ratchet,3.39,86.7,2.07,0.16,True,1.13,0.32,751,37.017310252996005,47840.0,1.0723275907685563,-47505.0,623,37.7207062600321,91180.0,1.127349036641829,-91455.0,1374,37.33624454148472,139020.0,1.1009278215794747,-91455.0,1.0723275907685563
14,7,2.54,0.0,pure_ratchet,2.54,124.5,0.24,0.69,True,0.37,0.38,748,46.3903743315508,107745.0,1.128314447507726,-58310.0,607,48.59967051070841,176810.0,1.1956642025585411,-59300.0,1355,47.38007380073801,284555.0,1.1632245093455933,-59300.0,1.128314447507726
13,12,2.36,0.0,pure_ratchet,2.89,193.1,0.16,0.0,False,0.58,0.32,760,42.368421052631575,11750.0,1.0142511476722116,-103390.0,623,45.74638844301766,237200.0,1.2810443189829324,-81890.0,1383,43.89009399855387,248950.0,1.1492067677960311,-103390.0,1.0142511476722116
14,7,1.13,0.39,drift_floor,1.91,33.3,1.07,0.0,True,1.14,0.17,764,40.70680628272251,57860.0,1.1197025022498526,-24205.0,621,45.73268921095008,162905.0,1.3433807952952583,-38775.0,1385,42.96028880866426,220765.0,1.2304965649731672,-38775.0,1.1197025022498526
12,16,1.44,0.0,pure_ratchet,3.1,52.1,1.62,0.32,False,1.36,0.09,763,47.182175622542594,39120.0,1.0511763897882695,-81765.0,627,48.803827751196174,145750.0,1.178303819922317,-67290.0,1390,47.9136690647482,184870.0,1.1168702270773276,-81765.0,1.0511763897882695
11,16,2.96,0.0,pure_ratchet,0.84,106.4,0.01,0.0,False,0.86,0.12,767,53.84615384615385,61880.0,1.077685016634235,-61615.0,622,54.5016077170418,112900.0,1.138001845728849,-60185.0,1389,54.13966882649388,174780.0,1.1082460339824916,-61615.0,1.077685016634235
11,25,1.9,0.31,drift_floor,2.99,87.9,2.17,0.24,True,0.32,0.19,764,46.33507853403142,31800.0,1.0418313722137083,-83575.0,623,48.47512038523274,195805.0,1.251884583719255,-67355.0,1387,47.29632299927901,227605.0,1.1480304769585479,-83575.0,1.0418313722137083
15,30,2.54,1.75,drift_floor,3.67,141.7,0.8,0.86,False,1.07,0.41,743,49.93270524899058,74300.0,1.0751127196263572,-87285.0,602,50.83056478405316,190875.0,1.195004214236457,-61770.0,1345,50.33457249070632,265175.0,1.1347430519739534,-87285.0,1.0751127196263572
14,10,1.84,1.61,drift_floor,3.45,48.3,1.38,0.76,True,0.55,0.37,752,44.547872340425535,61720.0,1.0807230018702834,-54535.0,614,46.74267100977198,145230.0,1.1754345698996171,-65110.0,1366,45.534407027818446,206950.0,1.1299594328129514,-65110.0,1.0807230018702834
