green_base,green_decay,green_atr_mult,n_all,all_net,all_PF,all_mdd,all_worst,is_net,is_PF,is_mdd,oos_net,oos_PF,oos_mdd,oos_worst
250.0,1.0,1.25,1366,224765.0,1.303,-39585.0,-10870.0,54585.0,1.143,-39585.0,170180.0,1.473,-21860.0,-10870.0
250.0,1.0,1.5,1366,227165.0,1.306,-41050.0,-10870.0,53485.0,1.14,-41050.0,173680.0,1.483,-21860.0,-10870.0
250.0,1.0,1.75,1366,225465.0,1.304,-40280.0,-10870.0,54280.0,1.142,-40280.0,171185.0,1.476,-21860.0,-10870.0
250.0,1.5,1.0,1366,234260.0,1.315,-41270.0,-10870.0,52505.0,1.137,-41270.0,181755.0,1.505,-21860.0,-10870.0
250.0,1.5,1.25,1366,224775.0,1.303,-41270.0,-10870.0,52555.0,1.137,-41270.0,172220.0,1.479,-21860.0,-10870.0
250.0,1.5,1.5,1366,226320.0,1.305,-39585.0,-10870.0,53925.0,1.141,-39585.0,172395.0,1.479,-21860.0,-10870.0
250.0,1.5,1.75,1366,225305.0,1.303,-39195.0,-10870.0,55000.0,1.144,-39195.0,170305.0,1.473,-21860.0,-10870.0
250.0,2.0,1.0,1366,232495.0,1.313,-42480.0,-10870.0,52940.0,1.138,-42480.0,179555.0,1.499,-21860.0,-10870.0
250.0,2.0,1.25,1366,224705.0,1.303,-41560.0,-10870.0,53905.0,1.141,-41560.0,170800.0,1.475,-21860.0,-10870.0
250.0,2.0,1.5,1366,225900.0,1.304,-41270.0,-10870.0,53030.0,1.139,-41270.0,172870.0,1.48,-21860.0,-10870.0
250.0,2.0,1.75,1366,226750.0,1.305,-41060.0,-10870.0,52790.0,1.138,-41060.0,173960.0,1.483,-21860.0,-10870.0
250.0,2.5,1.0,1366,239470.0,1.322,-42225.0,-10870.0,52845.0,1.138,-42225.0,186625.0,1.519,-21860.0,-10870.0
250.0,2.5,1.25,1366,222150.0,1.299,-42745.0,-10870.0,52425.0,1.137,-42745.0,169725.0,1.472,-21860.0,-10870.0
250.0,2.5,1.5,1366,222160.0,1.299,-41560.0,-10870.0,54050.0,1.141,-41560.0,168110.0,1.467,-21860.0,-10870.0
250.0,2.5,1.75,1366,227040.0,1.306,-41270.0,-10870.0,54650.0,1.143,-41270.0,172390.0,1.479,-21860.0,-10870.0
