atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_avg_$,IS_gross_$,IS_PF,OOS_trades,OOS_win%,OOS_avg_$,OOS_gross_$,OOS_PF
7,0.86,1.0,drift_floor,3.25,56.9,2.49,0.0,False,0.98,0.49,765,41.17647058823529,-14.928104575163399,-11420.0,0.9364266429147995,620,44.193548387096776,108.12903225806451,67040.0,1.2978033449570219
16,1.54,1.53,raw_atr,3.93,116.5,2.82,0.16,True,1.46,0.11,763,47.83748361730013,35.642201834862384,27195.0,1.0646245975072182,618,52.42718446601942,190.85760517799352,117950.0,1.264889507725476
20,1.98,2.93,pure_ratchet,0.71,69.7,2.9,0.18,False,1.28,0.06,765,65.62091503267973,20.398692810457515,15605.0,1.0446737854627695,620,68.38709677419355,142.06451612903226,88080.0,1.2344298946023635
25,2.22,2.5,raw_atr,1.93,191.3,0.1,0.22,True,0.8,0.57,763,52.55570117955439,59.78374836173001,45615.0,1.1031768471290757,617,54.94327390599676,161.28849270664506,99515.0,1.199063840852945
7,2.68,0.67,pure_ratchet,1.72,167.7,2.61,0.41,True,1.08,0.24,764,51.047120418848166,18.86780104712042,14415.0,1.0313454743136723,620,55.483870967741936,211.61290322580646,131200.0,1.2707862501676934
30,1.01,0.7,raw_atr,0.97,101.7,2.01,0.0,False,1.43,0.25,763,55.83224115334207,9.868938401048492,7530.0,1.015399245375625,618,61.97411003236246,222.88834951456312,137745.0,1.2982946240051974
12,1.9,0.27,drift_floor,3.51,47.5,0.48,0.39,False,1.0,0.23,765,49.80392156862745,8.084967320261438,6185.0,1.013570738985431,620,54.83870967741935,193.63709677419354,120055.0,1.252269384324438
25,0.81,2.21,pure_ratchet,3.24,94.1,2.01,0.0,False,0.56,0.1,765,39.73856209150327,-7.9411764705882355,-6075.0,0.9736190724335592,620,44.83870967741935,178.95967741935485,110955.0,1.4432437830819933
20,2.81,0.66,drift_floor,2.72,103.6,2.1,0.85,False,0.4,0.03,764,53.79581151832461,55.08507853403141,42085.0,1.0907649837168676,620,57.25806451612904,198.8548387096774,123290.0,1.245275136275017
10,1.51,1.76,drift_floor,2.56,21.3,2.12,0.3,True,0.33,0.02,765,49.54248366013072,-15.326797385620916,-11725.0,0.9591050190087544,620,54.03225806451613,148.50806451612902,92075.0,1.2740245826017083
