trial,y_mult,g_mult,g_base,g_decay,all_trades,all_pf,all_gross,all_win,Pre_pf,Pre_gross,Pre_trades,F1_pf,F1_gross,F1_trades,F2_pf,F2_gross,F2_trades,F3_pf,F3_gross,F3_trades,F4_pf,F4_gross,F4_trades,min_fold_pf,mean_fold_pf,num_folds_pf_ge_1
5735,1.45,2.5,95.0,1.4,1357,1.2328173752374976,133565.0,43.33087693441415,0.9816277349621818,-3850.0,505,1.1592537419309072,11225.0,244,1.5019825535289453,44310.0,243,1.4901542755252346,63225.0,256,1.2442073569838985,18655.0,109,0.9816277349621818,1.2754451325862335,4
5736,1.45,2.5,95.0,1.5,1357,1.23790723212885,136485.0,43.33087693441415,0.9850635871250984,-3130.0,505,1.1512378520252535,10660.0,244,1.51795627053359,45720.0,243,1.5006589658113032,64580.0,256,1.2442073569838985,18655.0,109,0.9850635871250984,1.2798248064958289,4
5737,1.45,2.5,95.0,1.6,1357,1.2371228363750457,136035.0,43.33087693441415,0.9828207391854167,-3600.0,505,1.1556359509115415,10970.0,244,1.5258864846493712,46420.0,243,1.49298395224436,63590.0,256,1.2442073569838985,18655.0,109,0.9828207391854167,1.2803068967949174,4
5738,1.45,2.5,95.0,1.7,1357,1.2382558524638743,136685.0,43.33087693441415,0.9940349788838253,-1250.0,505,1.1519472228133645,10710.0,244,1.521241644952985,46010.0,243,1.4903868516939298,63255.0,256,1.2351093075009818,17960.0,109,0.9940349788838253,1.2785440011690172,4
5739,1.45,2.5,95.0,1.8,1357,1.240347574474019,137885.0,43.33087693441415,0.9858509699124335,-2965.0,505,1.1449244520110662,10215.0,244,1.5215248668856916,46035.0,243,1.498061865260873,64245.0,256,1.2664615787406728,20355.0,109,0.9858509699124335,1.2833647465621474,4
5740,1.45,2.5,95.0,1.9,1357,1.2404870226080287,137965.0,43.33087693441415,0.9920784519577199,-1660.0,505,1.1291764205150032,9105.0,244,1.5328537441939505,47035.0,243,1.4905806651678424,63280.0,256,1.2644979709386046,20205.0,109,0.9920784519577199,1.281837450554624,4
5741,1.45,2.5,95.0,2.0,1357,1.229226585786749,131505.0,43.33087693441415,0.9911001884946673,-1865.0,505,1.1240689508406043,8745.0,244,1.5388014047807863,47560.0,243,1.4444918210714008,57335.0,256,1.2582798795653882,19730.0,109,0.9911001884946673,1.2713484489505693,4
5742,1.45,2.5,97.5,1.0,1357,1.2286862242674614,131195.0,43.33087693441415,0.9997852592398178,-45.0,505,1.1684046250975384,11870.0,244,1.5284354820437294,46645.0,243,1.4389487557174976,56620.0,256,1.2108260243487368,16105.0,109,0.9997852592398178,1.269280029289464,4
5743,1.45,2.5,97.5,1.1,1357,1.2289476895187297,131345.0,43.33087693441415,0.9933191763498843,-1400.0,505,1.1667730722848833,11755.0,244,1.5307579018919224,46850.0,243,1.4350337235444608,56115.0,256,1.2359602042152114,18025.0,109,0.9933191763498843,1.2723688156572723,4
5744,1.45,2.5,97.5,1.2,1357,1.23061235161847,132300.0,43.33087693441415,0.9933907566032784,-1385.0,505,1.1649287082357949,11625.0,244,1.5116120992409652,45160.0,243,1.4376308240948912,56450.0,256,1.2677051970153161,20450.0,109,0.9933907566032784,1.275053517038049,4
5745,1.45,2.5,97.5,1.3,1357,1.226411476581429,129890.0,43.33087693441415,0.9891198014840973,-2280.0,505,1.1568418812513301,11055.0,244,1.5039084626713493,44480.0,243,1.443057601364447,57150.0,256,1.2550726534886765,19485.0,109,0.9891198014840973,1.2696000800519802,4
5746,1.45,2.5,97.5,1.4,1357,1.2296972232390315,131775.0,43.33087693441415,0.9874495955715683,-2630.0,505,1.157551252039441,11105.0,244,1.5043049733771383,44515.0,243,1.4593766958678966,59255.0,256,1.255661735829297,19530.0,109,0.9874495955715683,1.2728688505370682,4
5747,1.45,2.5,97.5,1.5,1357,1.233749934633687,134100.0,43.33087693441415,0.983512681634893,-3455.0,505,1.1593246790097185,11230.0,244,1.5035119519655602,44445.0,243,1.4901542755252346,63225.0,256,1.2442073569838985,18655.0,109,0.983512681634893,1.2761421890238611,4
5748,1.45,2.5,97.5,1.6,1357,1.2397897819379804,137565.0,43.33087693441415,0.9884755792035503,-2415.0,505,1.1531531531531531,10795.0,244,1.516766738416223,45615.0,243,1.5032560663617334,64915.0,256,1.2442073569838985,18655.0,109,0.9884755792035503,1.2811717788237116,4
5749,1.45,2.5,97.5,1.7,1357,1.2377852150115916,136415.0,43.33087693441415,0.9831547803679225,-3530.0,505,1.1556359509115415,10970.0,244,1.5258864846493712,46420.0,243,1.4953872393208776,63900.0,256,1.2442073569838985,18655.0,109,0.9831547803679225,1.2808543624467223,4
5750,1.45,2.5,97.5,1.8,1357,1.235580191392564,135150.0,43.33087693441415,0.9852067476318866,-3100.0,505,1.1488259913456764,10490.0,244,1.525093463237793,46350.0,243,1.4936816807504458,63680.0,256,1.232098442204477,17730.0,109,0.9852067476318866,1.2769812650340557,4
5751,1.45,2.5,97.5,1.9,1357,1.239537032195088,137420.0,43.33087693441415,0.9861850110949393,-2895.0,505,1.144782577853444,10205.0,244,1.52101506740682,45990.0,243,1.4954647647104427,63910.0,256,1.2645634245320068,20210.0,109,0.9861850110949393,1.2824021691195306,4
5753,1.45,2.5,100.0,1.0,1357,1.2304467569593334,132205.0,43.33087693441415,0.9979957529049653,-420.0,505,1.1684046250975384,11870.0,244,1.534099920697859,47145.0,243,1.4470889216218312,57670.0,256,1.2086660557664617,15940.0,109,0.9979957529049653,1.2712510552177312,4
5752,1.45,2.5,97.5,2.0,1357,1.2408966515016822,138200.0,43.33087693441415,0.994130419221684,-1230.0,505,1.1291764205150032,9105.0,244,1.5328537441939505,47035.0,243,1.4890689200713234,63085.0,256,1.2644979709386046,20205.0,109,0.994130419221684,1.2819454949881133,4
5754,1.45,2.5,100.0,1.1,1357,1.2298976799316703,131890.0,43.33087693441415,1.0002147407601822,45.0,505,1.1600340497978294,11280.0,244,1.5382916053019147,47515.0,243,1.4405380262035816,56825.0,256,1.2123969105903913,16225.0,109,1.0002147407601822,1.27029506653078,5
5755,1.45,2.5,100.0,1.2,1357,1.23205912600882,133130.0,43.33087693441415,0.9943451599818663,-1185.0,505,1.168830247570405,11900.0,244,1.5406140251501077,47720.0,243,1.439336382665323,56670.0,256,1.2359602042152114,18025.0,109,0.9943451599818663,1.2758172039165827,4
5756,1.45,2.5,100.0,1.3,1357,1.2310132650037477,132530.0,43.33087693441415,0.9935577771945313,-1350.0,505,1.162871532950273,11480.0,244,1.5163702277104338,45580.0,243,1.4461198542522675,57545.0,256,1.252323602565781,19275.0,109,0.9935577771945313,1.2742485989346573,4
5757,1.45,2.5,100.0,1.4,1357,1.226916976067214,130180.0,43.33087693441415,0.9904321061296557,-2005.0,505,1.1569128183301411,11060.0,244,1.5039084626713493,44480.0,243,1.443057601364447,57150.0,256,1.255203560675481,19495.0,109,0.9904321061296557,1.2699029098342147,4
5758,1.45,2.5,100.0,1.5,1357,1.2239101256776308,128455.0,43.33087693441415,0.9874495955715683,-2630.0,505,1.157551252039441,11105.0,244,1.5043049733771383,44515.0,243,1.4351112489340259,56125.0,256,1.2531744992800105,19340.0,109,0.9874495955715683,1.2675183138404367,4
5759,1.45,2.5,100.0,1.6,1357,1.2323990308354686,133325.0,43.33087693441415,0.9856839493211806,-3000.0,505,1.1569837554089522,11065.0,244,1.5118953211736716,45185.0,243,1.4730211644313513,61015.0,256,1.249509098049483,19060.0,109,0.9856839493211806,1.2754186576769277,4
5760,1.45,2.5,100.0,1.7,1357,1.2388572225417909,137030.0,43.33087693441415,0.9815084345398583,-3875.0,505,1.1577640632758743,11120.0,244,1.5282655488841055,46630.0,243,1.5000387626947826,64500.0,256,1.2442073569838985,18655.0,109,0.9815084345398583,1.282356833275704,4
5761,1.45,2.5,100.0,1.8,1357,1.2373320085760602,136155.0,43.33087693441415,0.9828923194388108,-3585.0,505,1.1537206497836419,10835.0,244,1.5257165514897473,46405.0,243,1.4949608496782696,63845.0,256,1.2442073569838985,18655.0,109,0.9828923194388108,1.2802995454748738,4
5762,1.45,2.5,100.0,1.9,1357,1.2345866234377452,134580.0,43.33087693441415,0.9813414139486054,-3910.0,505,1.1488259913456764,10490.0,244,1.525093463237793,46350.0,243,1.496356306690441,64025.0,256,1.2307239167430293,17625.0,109,0.9813414139486054,1.2764682183931089,4
5763,1.45,2.5,100.0,2.0,1357,1.2385608952570204,136860.0,43.33087693441415,0.9875211758249625,-2615.0,505,1.144782577853444,10205.0,244,1.5183527812393791,45755.0,243,1.4992635087991317,64400.0,256,1.250229087576908,19115.0,109,0.9875211758249625,1.2800298262587648,4
5764,1.45,2.5,102.5,1.0,1357,1.2299412574735484,131915.0,43.33087693441415,0.9948939419245544,-1070.0,505,1.1684046250975384,11870.0,244,1.5269060836071144,46510.0,243,1.4472439724009614,57690.0,256,1.2214295064799057,16915.0,109,0.9948939419245544,1.271775625902015,4
