stop_mult,tp_mult,contract_type,num_contracts,challenge_pass_rate,challenge_avg_days,challenge_blowup_rate,funded_avg_payouts,funded_days_per_payout,funded_blowup_rate,funded_net_lifetime
0.6,2.8,MNQ,7,56.599999999999994,10.764664310954064,43.4,1.953,16.23543266769073,100.0,3859.0
0.6,2.8,MNQ,8,54.44,8.760102865540045,45.56,1.6014,13.604720869239415,100.0,2804.2
0.6,2.8,MNQ,9,51.68000000000001,7.34984520123839,48.32,1.3398,11.363934915659053,100.0,2019.4
0.5,2.3,MNQ,1,99.94,133.4292575545327,0.04,10.1732,139.94330200920064,0.02,28519.6
0.5,2.3,MNQ,2,97.89999999999999,67.62696629213484,2.1,19.7716,69.96027635598536,9.02,57314.799999999996
0.5,2.3,MNQ,3,90.56,41.87411660777385,9.44,20.627,46.76653900227857,56.279999999999994,59881.0
0.5,2.3,MNQ,4,82.74000000000001,28.87333816775441,17.26,13.4114,34.70762187392815,93.32000000000001,38234.200000000004
0.5,2.3,MNQ,5,75.08,21.32685135855088,24.92,7.289,27.221100288105365,99.76,19867.0
0.5,2.3,MNQ,6,70.76,16.237704918032787,29.24,4.7868,22.035556112643103,100.0,12360.400000000001
0.5,2.3,MNQ,7,65.68,13.202801461632156,34.32,3.3816,18.360598533238704,100.0,8144.800000000001
0.5,2.3,MNQ,8,60.760000000000005,10.766293614219881,39.24,2.494,15.523977546110666,100.0,5482.000000000001
0.5,2.3,MNQ,9,58.660000000000004,9.045346062052506,41.339999999999996,2.0832,13.237711213517665,100.0,4249.6
0.6,2.7,MNQ,1,99.78,133.77871316897173,0.22,10.0362,141.21807058448417,0.33999999999999997,28108.6
0.6,2.7,MNQ,2,93.97999999999999,64.4775484145563,6.02,17.5602,70.18571542465348,26.06,50680.59999999999
0.6,2.7,MNQ,3,83.91999999999999,38.25428979980934,16.08,12.7396,46.26969449590254,86.02,36218.799999999996
0.6,2.7,MNQ,4,75.08,25.12759722962174,24.92,6.4838,33.607113112680835,99.74,17451.399999999998
0.6,2.7,MNQ,5,66.2,18.572205438066465,33.800000000000004,3.805,25.690091984231273,100.0,9415.0
0.6,2.7,MNQ,6,61.28,14.026109660574413,38.72,2.7134,20.31340753298445,100.0,6140.2
0.6,2.7,MNQ,7,56.699999999999996,11.136507936507936,43.3,2.1222,16.191782112901706,100.0,4366.599999999999
0.6,2.7,MNQ,8,53.94,9.047460140897293,46.06,1.722,13.752961672473868,100.0,3166.0
0.6,2.7,MNQ,9,51.68000000000001,7.598297213622291,48.32,1.4208,11.71875,100.0,2262.4000000000005
0.5,2.2,MNQ,1,100.0,125.2248,0.0,10.8208,132.0327147715511,0.0,30462.4
0.5,2.2,MNQ,2,98.66,64.20697344415163,1.34,21.4816,66.03324705794726,5.140000000000001,62444.8
0.5,2.2,MNQ,3,93.89999999999999,41.343556975505855,6.1,24.6554,44.699846686729884,41.92,71966.2
0.5,2.2,MNQ,4,88.12,29.139355424421243,11.88,16.7658,33.39911009316585,88.98,48297.399999999994
0.5,2.2,MNQ,5,79.3,21.147540983606557,20.7,9.6304,26.41227778700781,99.28,26891.2
0.5,2.2,MNQ,6,72.42,16.567798950566143,27.58,6.067,21.53502554804681,100.0,16201.0
0.5,2.2,MNQ,7,67.80000000000001,12.926843657817109,32.2,4.2806,17.98794561510069,100.0,10841.8
0.5,2.2,MNQ,8,64.68,10.895794681508967,35.32,3.1282,15.135477271274215,100.0,7384.6
0.5,2.2,MNQ,9,62.2,9.44726688102894,37.8,2.5234,13.178568597923437,100.0,5570.2
0.6,2.6,MNQ,1,99.96000000000001,117.26110444177671,0.04,11.7216,122.06395031395031,0.06,33164.8
0.6,2.6,MNQ,2,97.24000000000001,58.532085561497325,2.76,21.2672,61.66209938308757,17.22,61801.6
0.6,2.6,MNQ,3,87.83999999999999,36.29371584699454,12.16,18.9502,41.1377399710821,72.92,54850.6
