date,variant,direction,entry_time,exit_time,entry_price,exit_price,gap_pct,atr,exit_reason,post_holiday,dow,pnl_gross,pnl_net
2021-12-17,A30,long,2021-12-17 09:31:00-05:00,2021-12-17 10:00:00-05:00,15713.125,15775.125,-0.009939668887733677,374.32142857142856,time,False,Friday,1245.0,1235.5
2021-12-20,A30,long,2021-12-20 09:31:00-05:00,2021-12-20 10:00:00-05:00,15577.875,15627.375,-0.014876999936760837,369.57142857142856,time,True,Monday,995.0,985.5
2021-12-21,A30,short,2021-12-21 09:31:00-05:00,2021-12-21 10:00:00-05:00,15762.125,15672.625,0.008203274913649805,358.39285714285717,time,False,Tuesday,1795.0,1785.5
2022-01-03,A30,short,2022-01-03 09:31:00-05:00,2022-01-03 10:00:00-05:00,16382.625,16315.125,0.0036912237708683904,283.01785714285717,time,True,Monday,1355.0,1345.5
2022-01-05,A30,long,2022-01-05 09:31:00-05:00,2022-01-05 10:00:00-05:00,16199.875,16208.625,-0.005448629401111238,281.26785714285717,time,False,Wednesday,180.0,170.5
2022-01-06,A30,long,2022-01-06 09:31:00-05:00,2022-01-06 10:00:00-05:00,15690.875,15717.875,-0.005939370901834051,263.2857142857143,time,False,Thursday,545.0,535.5
2022-01-10,A30,long,2022-01-10 09:31:00-05:00,2022-01-10 10:00:00-05:00,15376.625,15246.875,-0.014184738183391832,273.42857142857144,time,True,Monday,-2590.0,-2599.5
2022-01-12,A30,short,2022-01-12 09:31:00-05:00,2022-01-12 10:00:00-05:00,15938.625,15957.625,0.007410801757102625,270.875,time,False,Wednesday,-375.0,-384.5
2022-01-13,A30,short,2022-01-13 09:31:00-05:00,2022-01-13 10:00:00-05:00,15950.125,15951.375,0.003760108240772775,294.39285714285717,time,False,Thursday,-20.0,-29.5
2022-01-14,A30,long,2022-01-14 09:31:00-05:00,2022-01-14 10:00:00-05:00,15388.375,15574.625,-0.0060554191964862225,292.8392857142857,time,False,Friday,3730.0,3720.5
2022-01-19,A30,short,2022-01-19 09:31:00-05:00,2022-01-19 10:00:00-05:00,15267.125,15347.375,0.004556520594815039,315.76785714285717,time,False,Wednesday,-1600.0,-1609.5
2022-01-20,A30,short,2022-01-20 09:31:00-05:00,2022-01-20 10:00:00-05:00,15168.625,15274.875,0.008711409619125199,342.5357142857143,time,False,Thursday,-2120.0,-2129.5
2022-01-21,A30,long,2022-01-21 09:31:00-05:00,2022-01-21 10:00:00-05:00,14745.875,14639.125,-0.005446329207837275,358.9642857142857,time,False,Friday,-2130.0,-2139.5
2022-01-24,A30,long,2022-01-24 09:31:00-05:00,2022-01-24 10:00:00-05:00,14190.375,14118.875,-0.020230265996927455,390.57142857142856,time,True,Monday,-1425.0,-1434.5
2022-01-25,A30,long,2022-01-25 09:31:00-05:00,2022-01-25 10:00:00-05:00,14220.625,14100.625,-0.019411115708178217,389.14285714285717,time,False,Tuesday,-2395.0,-2404.5
2022-01-26,A30,short,2022-01-26 09:31:00-05:00,2022-01-26 10:00:00-05:00,14475.375,14430.375,0.02284089102439535,415.30357142857144,time,False,Wednesday,905.0,895.5
2022-01-28,A30,long,2022-01-28 09:31:00-05:00,2022-01-28 10:00:00-05:00,14067.875,13902.125,-0.005830285683998571,432.75,time,False,Friday,-3310.0,-3319.5
2022-01-31,A30,short,2022-01-31 09:31:00-05:00,2022-01-31 10:00:00-05:00,14487.375,14617.625,0.00455908610258815,435.92857142857144,time,True,Monday,-2600.0,-2609.5
2022-02-02,A30,short,2022-02-02 09:31:00-05:00,2022-02-02 10:00:00-05:00,15167.125,15091.375,0.010594173204737434,432.48214285714283,time,False,Wednesday,1520.0,1510.5
2022-02-03,A30,long,2022-02-03 09:31:00-05:00,2022-02-03 10:00:00-05:00,14705.125,14718.875,-0.027141463091910456,442.30357142857144,time,False,Thursday,280.0,270.5
2022-02-09,A30,short,2022-02-09 09:31:00-05:00,2022-02-09 10:00:00-05:00,14919.125,14874.875,0.012572960499524832,462.125,time,False,Wednesday,890.0,880.5
2022-02-11,A30,long,2022-02-11 09:31:00-05:00,2022-02-11 10:00:00-05:00,14700.875,14633.625,-0.02148300995107666,464.5,time,False,Friday,-1340.0,-1349.5
2022-02-14,A30,long,2022-02-14 09:31:00-05:00,2022-02-14 10:00:00-05:00,14208.625,14288.625,-0.0039956538501980665,427.07142857142856,time,True,Monday,1605.0,1595.5
2022-02-15,A30,short,2022-02-15 09:31:00-05:00,2022-02-15 10:00:00-05:00,14472.125,14495.625,0.014439674055901186,417.07142857142856,time,False,Tuesday,-465.0,-474.5
2022-02-16,A30,long,2022-02-16 09:31:00-05:00,2022-02-16 10:00:00-05:00,14513.125,14412.125,-0.005584295453766819,388.5357142857143,time,False,Wednesday,-2015.0,-2024.5
2022-02-18,A30,long,2022-02-18 09:31:00-05:00,2022-02-18 10:00:00-05:00,14204.125,14179.625,-0.027439702836405955,398.2857142857143,time,False,Friday,-485.0,-494.5
2022-02-21,A30,long,2022-02-21 09:31:00-05:00,2022-02-21 10:00:00-05:00,13862.375,13826.625,-0.009680127163294139,383.07142857142856,time,True,Monday,-710.0,-719.5
2022-02-23,A30,short,2022-02-23 09:31:00-05:00,2022-02-23 10:00:00-05:00,13994.375,13915.625,0.009685972475244053,412.1607142857143,time,False,Wednesday,1580.0,1570.5
2022-02-24,A30,long,2022-02-24 09:31:00-05:00,2022-02-24 10:00:00-05:00,13074.125,13337.125,-0.03261251595479009,431.17857142857144,time,False,Thursday,5265.0,5255.5
2022-02-25,A30,short,2022-02-25 09:31:00-05:00,2022-02-25 10:00:00-05:00,13994.625,13884.375,0.003369719130325688,428.75,time,False,Friday,2210.0,2200.5
2022-02-28,A30,long,2022-02-28 09:31:00-05:00,2022-02-28 10:00:00-05:00,14042.375,14140.125,-0.009347607541579261,428.875,time,True,Monday,1960.0,1950.5
2022-03-01,A30,long,2022-03-01 09:31:00-05:00,2022-03-01 10:00:00-05:00,14175.125,14217.125,-0.0038125691796826455,433.48214285714283,time,False,Tuesday,845.0,835.5
2022-03-02,A30,short,2022-03-02 09:31:00-05:00,2022-03-02 10:00:00-05:00,14066.875,14080.875,0.004678070206763474,435.5357142857143,time,False,Wednesday,-275.0,-284.5
2022-03-03,A30,short,2022-03-03 09:31:00-05:00,2022-03-03 10:00:00-05:00,14350.125,14266.375,0.00775996769606202,435.05357142857144,time,False,Thursday,1680.0,1670.5
2022-03-04,A30,long,2022-03-04 09:31:00-05:00,2022-03-04 10:00:00-05:00,13934.625,13905.875,-0.0057438458794148994,413.30357142857144,time,False,Friday,-570.0,-579.5
2022-03-08,A30,long,2022-03-08 09:31:00-05:00,2022-03-08 10:00:00-05:00,13286.625,13255.625,-0.0037677845052205283,446.32142857142856,time,False,Tuesday,-615.0,-624.5
2022-03-09,A30,short,2022-03-09 09:31:00-05:00,2022-03-09 10:00:00-05:00,13603.125,13558.375,0.026273104488872212,466.0892857142857,time,False,Wednesday,900.0,890.5
2022-03-10,A30,long,2022-03-10 09:31:00-05:00,2022-03-10 10:00:00-05:00,13561.625,13570.375,-0.011678539544883071,439.85714285714283,time,False,Thursday,180.0,170.5
2022-03-11,A30,short,2022-03-11 09:31:00-05:00,2022-03-11 10:00:00-05:00,13707.125,13582.625,0.007886029411764639,449.94642857142856,time,False,Friday,2495.0,2485.5
2022-03-14,A30,long,2022-03-14 09:31:00-04:00,2022-03-14 10:00:00-04:00,13246.125,13266.125,-0.0039852620497782265,448.25,time,True,Monday,405.0,395.5
2022-03-15,A30,short,2022-03-15 09:31:00-04:00,2022-03-15 10:00:00-04:00,13154.875,13190.875,0.007814295564238183,440.89285714285717,time,False,Tuesday,-715.0,-724.5
2022-03-16,A30,short,2022-03-16 09:31:00-04:00,2022-03-16 10:00:00-04:00,13617.875,13715.625,0.012490706319702616,408.8392857142857,time,False,Wednesday,-1950.0,-1959.5
