signal_time,exit_time,exit_reason,entry,exit,entry_raw,sl_raw,tp_raw,atr,signal_low,bot_wick_low,signal_bar_total_delta,zone_id,pts,pnl_gross,pnl_net,dev_poc,dev_vah,dev_val,noise_upper_14,noise_lower_14,noise_upper_90,noise_lower_90,prev_week_iso_poc,prev_week_iso_vah,prev_week_iso_val,entry_hour,dev_loc,noise_loc,week_loc
2022-05-11 10:35:00-04:00,2022-05-11 12:25:00-04:00,sl,12387.375,12214.125,12387.25,12214.25,12661.75,101.5,12315.75,12315.75,281,4533,-173.25,-3465.0,-3469.5,12340.0,12457.5,12212.5,12471.059320749373,12109.67507856283,12450.835048643787,12129.753828715367,13120.0,13332.5,13000.0,10:00,in_va,inside_both,below_week_val
2022-05-11 14:40:00-04:00,2022-05-11 15:00:00-04:00,sl,12150.625,12020.875,12150.5,12021.0,12331.25,51.25,12072.25,12072.25,461,4548,-129.75,-2595.0,-2599.5,12272.5,12442.5,12167.5,12522.045542341633,12059.055723798003,12514.638535075379,12066.409434601574,13120.0,13332.5,13000.0,14:00,below_val,inside_both,below_week_val
2022-05-12 10:35:00-04:00,2022-05-12 12:00:00-04:00,sl,11987.875,11820.0,11987.75,11820.125,12252.25,96.875,11917.0,11917.0,469,4555,-167.875,-3357.5,-3362.0,11790.0,11940.0,11755.0,12141.303387834767,11664.321360904083,12125.204265854421,11680.12594997387,13120.0,13332.5,13000.0,10:00,above_vah,inside_both,below_week_val
2022-06-02 15:00:00-04:00,2022-06-02 16:50:00-04:00,tp,12835.125,12901.732142857141,12835.0,12789.57142857143,12901.857142857141,21.428571428571427,12811.0,12811.0,217,4761,66.6071428571413,1332.142857142826,1327.642857142826,12555.0,12707.5,12477.5,12801.71317795603,12250.19669557027,12762.99576878082,12288.775255254495,11942.5,12350.0,11700.0,15:00,above_vah,outside_both,above_week_vah
2022-06-06 15:40:00-04:00,2022-06-06 16:55:00-04:00,eod,12590.625,12606.625,12590.5,12518.410714285714,12692.428571428572,29.839285714285715,12548.25,12548.25,315,4783,16.0,320.0,315.5,12592.5,12730.0,12540.0,12982.163843375447,12312.462688659878,12980.92703199591,12313.680862690213,11860.0,12052.5,11595.0,15:00,in_va,inside_both,above_week_vah
2022-07-05 11:15:00-04:00,2022-07-05 12:10:00-04:00,tp,11496.375,11596.517857142859,11496.25,11438.30357142857,11596.642857142859,42.44642857142857,11480.75,11480.75,254,4968,100.1428571428587,2002.857142857174,1998.357142857174,11450.0,11537.5,11400.0,11658.033533861377,11349.380383715821,11688.46547915242,11319.215778086109,11662.5,11745.0,11437.5,11:00,in_va,inside_both,in_week_va
2022-07-07 13:30:00-04:00,2022-07-07 14:25:00-04:00,tp,12100.875,12145.910714285714,12100.75,12069.357142857143,12146.035714285714,13.892857142857142,12083.25,12083.25,272,4995,45.035714285713766,900.7142857142753,896.2142857142753,12087.5,12112.5,11982.5,12073.989305455167,11747.472347504552,12082.145438720912,11739.327334294649,11662.5,11745.0,11437.5,13:00,in_va,outside_both,above_week_vah
2022-07-14 12:10:00-04:00,2022-07-14 12:45:00-04:00,sl,11689.125,11644.92857142857,11689.0,11645.05357142857,11765.642857142859,32.69642857142857,11677.75,11677.75,321,5041,-44.19642857142935,-883.928571428587,-888.428571428587,11650.0,11717.5,11582.5,11873.040800719473,11517.861967638697,11879.36908763963,11511.574403112052,11680.0,12020.0,11385.0,12:00,in_va,inside_both,in_week_va
2022-07-27 14:00:00-04:00,2022-07-27 14:05:00-04:00,sl,12468.625,12406.17857142857,12468.5,12406.30357142857,12548.392857142859,17.696428571428573,12424.0,12424.0,358,5143,-62.44642857142935,-1248.928571428587,-1253.428571428587,12435.0,12475.0,12317.5,12458.70109322344,12047.669435708223,12489.23305346099,12017.416532688243,11797.5,11995.0,11737.5,14:00,in_va,inside_90_only,above_week_vah
2022-08-17 09:30:00-04:00,2022-08-17 09:40:00-04:00,sl,13520.125,13492.67857142857,13520.0,13492.80357142857,13566.892857142859,19.696428571428573,13512.5,13512.5,263,5311,-27.44642857142935,-548.928571428587,-553.428571428587,13525.0,13602.5,13505.0,13666.30432278272,13514.475693846034,13669.406522191934,13511.406699447512,13270.0,13337.5,12985.0,09:00,in_va,inside_both,above_week_vah
2022-08-17 14:00:00-04:00,2022-08-17 16:55:00-04:00,eod,13523.875,13510.875,13523.75,13450.607142857143,13619.785714285714,22.892857142857142,13473.5,13473.5,502,5320,-13.0,-260.0,-264.5,13490.0,13525.0,13420.0,13771.484560430108,13410.42127387025,13850.163773614317,13332.584219351695,13270.0,13337.5,12985.0,14:00,in_va,inside_both,above_week_vah
2022-08-29 11:30:00-04:00,2022-08-29 16:55:00-04:00,eod,12503.625,12505.125,12503.5,12414.75,12628.25,36.0,12450.75,12450.75,372,5420,1.5,30.0,25.5,12465.0,12550.0,12447.5,12670.693561207396,12392.30002846113,12688.913913421578,12374.160194564318,13655.0,13685.0,13465.0,11:00,in_va,inside_both,below_week_val
2022-09-07 10:25:00-04:00,2022-09-07 13:35:00-04:00,tp,12071.875,12184.589285714286,12071.75,11996.767857142857,12184.714285714286,37.982142857142854,12034.75,12034.75,508,5506,112.71428571428623,2254.2857142857247,2249.7857142857247,12040.0,12122.5,12010.0,12127.724269666138,11932.418216536522,12139.380159383865,11920.781205105264,12932.5,13072.5,12877.5,10:00,in_va,inside_both,below_week_val
2022-09-13 13:00:00-04:00,2022-09-13 14:25:00-04:00,sl,12297.125,12258.57142857143,12297.0,12258.69642857143,12354.857142857141,19.553571428571427,12278.25,12278.25,216,5540,-38.55357142857065,-771.071428571413,-775.571428571413,12300.0,12475.0,12262.5,12985.859139440157,12328.218210642432,12990.331854227494,12323.884327641641,12322.5,12587.5,12257.5,13:00,in_va,outside_both,in_week_va
2022-09-14 11:35:00-04:00,2022-09-14 13:45:00-04:00,sl,12209.375,12152.69642857143,12209.25,12152.82142857143,12300.857142857141,35.17857142857143,12188.0,12188.0,229,5551,-56.67857142857065,-1133.571428571413,-1138.071428571413,12160.0,12202.5,12127.5,12286.87377370691,12011.042171336947,12282.88782651496,12015.013871891302,12322.5,12587.5,12257.5,11:00,above_vah,inside_both,below_week_val
2022-09-16 12:30:00-04:00,2022-09-16 14:25:00-04:00,tp,11803.875,11875.089285714286,11803.75,11759.267857142857,11875.214285714286,26.982142857142858,11786.25,11786.25,461,5582,71.21428571428623,1424.2857142857247,1419.7857142857247,11822.5,11875.0,11805.0,12060.822654069429,11779.458529648806,12097.769104098725,11742.840718801679,12322.5,12587.5,12257.5,12:00,below_val,inside_both,below_week_val
2022-09-22 10:25:00-04:00,2022-09-22 11:00:00-04:00,sl,11600.625,11534.642857142857,11600.5,11534.767857142857,11706.714285714286,40.482142857142854,11575.25,11575.25,486,5650,-65.98214285714312,-1319.6428571428623,-1324.1428571428623,11612.5,11685.0,11570.0,11738.208115820173,11571.948330101264,11754.057011560604,11556.1347507209,12092.5,12202.5,11970.0,10:00,in_va,inside_both,below_week_val
2022-09-27 11:05:00-04:00,2022-09-27 11:20:00-04:00,sl,11492.875,11407.55357142857,11492.75,11407.67857142857,11618.892857142859,41.07142857142857,11448.75,11448.75,537,5702,-85.32142857142935,-1706.428571428587,-1710.928571428587,11472.5,11507.5,11427.5,11559.59788034,11227.606092586439,11572.698794857879,11214.682209736773,12120.0,12347.5,11845.0,11:00,in_va,inside_both,below_week_val
2022-09-30 09:50:00-04:00,2022-09-30 14:40:00-04:00,sl,11241.375,11139.214285714286,11241.25,11139.339285714286,11387.571428571428,44.410714285714285,11183.75,11183.75,522,5755,-102.16071428571377,-2043.2142857142753,-2047.7142857142753,11205.0,11275.0,11177.5,11296.73074015175,11124.034500204063,11293.446024709283,11127.30532709539,12120.0,12347.5,11845.0,09:00,in_va,inside_both,below_week_val
2022-10-24 10:25:00-04:00,2022-10-24 11:50:00-04:00,tp,11250.375,11401.053571428572,11250.25,11155.160714285714,11401.178571428572,55.839285714285715,11211.0,11211.0,657,5975,150.67857142857247,3013.5714285714494,3009.0714285714494,11370.0,11422.5,11302.5,11512.9153804958,11224.803984466333,11471.107330780382,11266.54405660048,10880.0,11045.0,10810.0,10:00,below_val,inside_14_only,above_week_vah
2022-10-28 12:10:00-04:00,2022-10-28 13:35:00-04:00,tp,11477.125,11552.160714285714,11477.0,11426.107142857143,11552.285714285714,24.392857142857142,11450.5,11450.5,370,6031,75.03571428571377,1500.7142857142753,1496.2142857142753,11457.5,11497.5,11162.5,11691.74358591767,11116.957491363484,11605.636799837703,11201.99490759214,10880.0,11045.0,10810.0,12:00,in_va,inside_both,above_week_vah
2022-11-08 11:05:00-05:00,2022-11-08 11:35:00-05:00,tp,11139.125,11220.589285714286,11139.0,11083.892857142857,11220.714285714286,26.607142857142858,11110.5,11110.5,276,6116,81.46428571428623,1629.2857142857247,1624.7857142857247,11057.5,11097.5,11020.0,11197.233255776202,10893.947990870844,11181.692267784802,10909.401287646659,11490.0,11600.0,11302.5,11:00,above_vah,inside_both,below_week_val
2022-11-14 11:05:00-05:00,2022-11-14 11:15:00-05:00,sl,11787.625,11734.42857142857,11787.5,11734.55357142857,11870.142857142859,29.696428571428573,11764.25,11764.25,475,6176,-53.19642857142935,-1063.928571428587,-1068.428571428587,11790.0,11805.0,11760.0,11962.48892693274,11634.82164723111,11948.170484356908,11649.048151766116,10800.0,11290.0,10662.5,11:00,in_va,inside_both,above_week_vah
2022-11-15 12:45:00-05:00,2022-11-15 13:15:00-05:00,sl,12001.625,11950.214285714286,12001.5,11950.339285714286,12076.321428571428,23.660714285714285,11974.0,11974.0,238,6199,-51.410714285713766,-1028.2142857142753,-1032.7142857142753,12027.5,12062.5,11970.0,12185.226635608638,11607.9710170606,12167.479452929809,11625.34506047171,10800.0,11290.0,10662.5,12:00,in_va,inside_both,above_week_vah
2022-11-17 10:00:00-05:00,2022-11-17 11:55:00-05:00,tp,11608.375,11696.232142857141,11608.25,11545.57142857143,11696.357142857141,25.428571428571427,11571.0,11571.0,268,6232,87.8571428571413,1757.142857142826,1752.642857142826,11600.0,11677.5,11527.5,11825.795254600085,11497.472939976049,11843.544034830025,11480.057001205209,10800.0,11290.0,10662.5,10:00,in_va,inside_both,above_week_vah
2022-11-30 10:05:00-05:00,2022-11-30 11:00:00-05:00,sl,11572.625,11515.982142857143,11572.5,11516.107142857143,11656.285714285714,27.392857142857142,11543.5,11543.5,302,6329,-56.64285714285688,-1132.8571428571377,-1137.3571428571377,11532.5,11565.0,11527.5,11595.684554494575,11457.644329429371,11613.337590804158,11440.013868313612,11765.0,11857.5,11625.0,10:00,above_vah,inside_both,below_week_val
2022-11-30 10:20:00-05:00,2022-11-30 11:00:00-05:00,sl,11561.625,11511.32142857143,11561.5,11511.44642857143,11641.857142857141,30.303571428571427,11541.75,11541.75,569,6330,-50.30357142857065,-1006.071428571413,-1010.571428571413,11560.0,11570.0,11532.5,11605.214007968438,11448.127062485657,11623.978039589127,11429.387026830496,11765.0,11857.5,11625.0,10:00,in_va,inside_both,below_week_val
2022-12-07 10:25:00-05:00,2022-12-07 16:55:00-05:00,eod,11520.125,11498.625,11520.0,11420.857142857143,11664.035714285714,44.892857142857146,11465.75,11465.75,300,6392,-21.5,-430.0,-434.5,11515.0,11542.5,11450.0,11634.991375124555,11441.095905587717,11661.530238126046,11414.687255963538,11605.0,11790.0,11532.5,10:00,in_va,inside_both,below_week_val
2022-12-08 15:05:00-05:00,2022-12-08 16:55:00-05:00,eod,11632.625,11637.125,11632.5,11581.857142857143,11705.785714285714,22.642857142857142,11604.5,11604.5,247,6414,4.5,90.0,85.5,11625.0,11667.5,11565.0,,,11744.543842118303,11320.739505031532,11605.0,11790.0,11532.5,15:00,in_va,inside_90_only,in_week_va
2022-12-09 10:25:00-05:00,2022-12-09 16:00:00-05:00,sl,11630.625,11562.517857142857,11630.5,11562.642857142857,11739.464285714286,41.107142857142854,11603.75,11603.75,368,6421,-68.10714285714312,-1362.1428571428623,-1366.6428571428623,11610.0,11657.5,11572.5,11700.391074973742,11539.050183518842,11732.201215950923,11507.336397562773,11605.0,11790.0,11532.5,10:00,in_va,inside_both,in_week_va
2023-01-04 10:35:00-05:00,2023-01-04 11:30:00-05:00,tp,10904.375,11009.339285714286,10904.25,10848.267857142857,11009.464285714286,49.232142857142854,10897.5,10897.5,526,6567,104.96428571428623,2099.2857142857247,2094.7857142857247,10980.0,11042.5,10957.5,11137.07570864801,10838.292624433057,11127.415903583591,10847.871445950237,11220.0,11285.0,11075.0,10:00,below_val,inside_both,below_week_val
2023-01-06 11:45:00-05:00,2023-01-06 14:00:00-05:00,tp,11005.875,11079.517857142859,11005.75,10959.05357142857,11079.642857142859,27.196428571428573,10986.25,10986.25,946,6590,73.6428571428587,1472.857142857174,1468.357142857174,10910.0,10957.5,10800.0,11005.212265578546,10723.601402521248,11018.115215102715,10710.762132506483,11220.0,11285.0,11075.0,11:00,above_vah,inside_90_only,below_week_val
2023-01-10 10:35:00-05:00,2023-01-10 16:00:00-05:00,tp,11168.125,11287.589285714286,11168.0,11098.517857142857,11287.714285714286,50.232142857142854,11148.75,11148.75,574,6617,119.46428571428623,2389.2857142857247,2384.7857142857247,11165.0,11222.5,11142.5,11289.852790537983,11038.04188231591,11281.662188234679,11046.201727982121,10917.5,11042.5,10882.5,10:00,in_va,inside_both,above_week_vah
2023-01-12 13:30:00-05:00,2023-01-12 16:55:00-05:00,eod,11490.875,11521.375,11490.75,11428.69642857143,11575.857142857141,23.053571428571427,11451.75,11451.75,566,6653,30.5,610.0,605.5,11467.5,11527.5,11417.5,11611.304613995037,11354.358344232798,11644.560654788564,11321.147163857206,10917.5,11042.5,10882.5,13:00,in_va,inside_both,above_week_vah
2023-01-25 10:00:00-05:00,2023-01-25 11:15:00-05:00,tp,11639.125,11714.767857142859,11639.0,11588.92857142857,11714.892857142859,25.821428571428573,11614.75,11614.75,1120,6727,75.6428571428587,1512.857142857174,1508.357142857174,11690.0,11802.5,11622.5,12028.420076378896,11655.58247366698,12042.24373666119,11642.056472033231,11467.5,11572.5,11275.0,10:00,in_va,outside_both,above_week_vah
