date,direction,entry_ts,exit_ts,entry_price,exit_price,reason,pnl,bars_held,mae,mfe,init_atr,entry_hour,on_range,period,year
2022-05-25,LONG,2022-05-25 14:50:00-04:00,2022-05-25 16:10:00-04:00,11929.0,11908.25,FORCE_CLOSE,-20.75,4,-30.5,107.0,62.781810399224206,14,220.5,IS,2022
2022-05-26,LONG,2022-05-26 10:10:00-04:00,2022-05-26 13:10:00-04:00,12124.5,12320.554363324027,TP,196.05436332402678,9,-13.5,213.0,49.013590831006866,10,172.25,IS,2022
2022-05-27,LONG,2022-05-27 10:10:00-04:00,2022-05-27 16:10:00-04:00,12536.25,12696.0,FORCE_CLOSE,159.75,18,-28.75,160.25,44.205161464584165,10,215.0,IS,2022
2022-05-31,SHORT,2022-05-31 10:10:00-04:00,2022-05-31 10:50:00-04:00,12482.0,12609.5,SL_YELLOW,-127.5,2,-164.5,2.0,52.52862242317256,10,231.0,IS,2022
2022-06-01,SHORT,2022-06-01 11:50:00-04:00,2022-06-01 14:30:00-04:00,12511.0,12633.5,SL_YELLOW,-122.5,8,-133.0,56.25,55.671719493815864,11,161.25,IS,2022
2022-06-02,LONG,2022-06-02 11:50:00-04:00,2022-06-02 16:10:00-04:00,12721.75,12882.5,FORCE_CLOSE,160.75,13,-37.25,177.5,58.169613255226835,11,167.5,IS,2022
2022-06-03,SHORT,2022-06-03 10:10:00-04:00,2022-06-03 11:30:00-04:00,12680.75,12507.255332717386,TP,173.4946672826136,4,-11.75,177.75,43.37366682065328,10,261.25,IS,2022
2022-06-06,LONG,2022-06-06 10:30:00-04:00,2022-06-06 11:10:00-04:00,12780.5,12729.75,SL_YELLOW,-50.75,2,-54.5,26.25,40.114735900267014,10,239.0,IS,2022
2022-06-07,LONG,2022-06-07 11:10:00-04:00,2022-06-07 11:30:00-04:00,12656.5,12597.5,SL_YELLOW,-59.0,1,-63.75,16.5,51.03062271723183,11,188.75,IS,2022
2022-06-08,LONG,2022-06-08 10:10:00-04:00,2022-06-08 11:10:00-04:00,12762.5,12714.0,SL_YELLOW,-48.5,3,-75.5,5.0,36.49907871223733,10,98.0,IS,2022
2022-06-09,SHORT,2022-06-09 14:10:00-04:00,2022-06-09 15:50:00-04:00,12553.5,12361.185260174709,TP,192.31473982529133,5,-5.0,219.0,48.07868495632265,14,197.0,IS,2022
2022-06-10,SHORT,2022-06-10 10:30:00-04:00,2022-06-10 16:10:00-04:00,11893.25,11883.25,FORCE_CLOSE,10.0,17,-107.75,44.0,63.030398845162374,10,342.5,IS,2022
2022-06-13,SHORT,2022-06-13 10:50:00-04:00,2022-06-13 12:30:00-04:00,11384.25,11471.0,SL_YELLOW,-86.75,5,-97.0,39.5,52.715168669783516,10,355.25,IS,2022
2022-06-14,SHORT,2022-06-14 11:30:00-04:00,2022-06-14 11:50:00-04:00,11327.25,11356.5,SL_YELLOW,-29.25,1,-57.0,19.5,66.57784668579416,11,190.25,IS,2022
2022-06-15,LONG,2022-06-15 10:10:00-04:00,2022-06-15 10:50:00-04:00,11555.75,11497.75,SL_YELLOW,-58.0,2,-81.75,14.25,42.17275969722782,10,158.25,IS,2022
2022-06-16,SHORT,2022-06-16 10:30:00-04:00,2022-06-16 16:10:00-04:00,11238.0,11158.25,FORCE_CLOSE,79.75,17,-6.5,169.5,57.428240406384994,10,505.75,IS,2022
2022-06-21,LONG,2022-06-21 10:10:00-04:00,2022-06-21 16:10:00-04:00,11622.5,11575.5,FORCE_CLOSE,-47.0,18,-60.5,55.75,34.61622676424032,10,148.5,IS,2022
2022-06-22,LONG,2022-06-22 10:30:00-04:00,2022-06-22 12:10:00-04:00,11707.75,11575.75,SL_YELLOW,-132.0,5,-140.75,38.0,49.18348769222964,10,262.5,IS,2022
2022-06-24,LONG,2022-06-24 10:10:00-04:00,2022-06-24 16:10:00-04:00,12074.25,12121.5,FORCE_CLOSE,47.25,18,-105.0,74.25,39.30482264731043,10,191.0,IS,2022
2022-06-27,SHORT,2022-06-27 14:10:00-04:00,2022-06-27 16:10:00-04:00,12038.25,12067.0,FORCE_CLOSE,-28.75,6,-38.0,44.0,45.837110680292305,14,189.5,IS,2022
2022-06-28,SHORT,2022-06-28 11:10:00-04:00,2022-06-28 12:10:00-04:00,11958.75,11781.913101050595,TP,176.8368989494047,3,-10.5,202.25,44.209224737351335,11,192.75,IS,2022
2022-07-01,LONG,2022-07-01 10:10:00-04:00,2022-07-01 10:30:00-04:00,11560.5,11448.5,SL_YELLOW,-112.0,1,-121.0,9.0,48.69590013088817,10,146.25,IS,2022
2022-07-05,LONG,2022-07-05 15:10:00-04:00,2022-07-05 16:10:00-04:00,11778.75,11800.5,FORCE_CLOSE,21.75,3,-49.0,36.0,53.938933557482216,15,317.0,IS,2022
2022-07-06,LONG,2022-07-06 14:50:00-04:00,2022-07-06 16:10:00-04:00,11911.0,11900.0,FORCE_CLOSE,-11.0,4,-63.0,63.25,53.68222446741797,14,146.0,IS,2022
2022-07-07,LONG,2022-07-07 10:10:00-04:00,2022-07-07 15:30:00-04:00,12035.25,12164.041666179413,TP,128.79166617941337,16,-29.0,133.25,32.19791654485315,10,128.0,IS,2022
2022-07-11,SHORT,2022-07-11 10:10:00-04:00,2022-07-11 16:10:00-04:00,11890.25,11914.5,FORCE_CLOSE,-24.25,18,-114.5,32.25,34.757613579335455,10,153.25,IS,2022
2022-07-12,SHORT,2022-07-12 15:50:00-04:00,2022-07-12 16:10:00-04:00,11744.5,11770.0,SL_YELLOW,-25.5,1,-48.75,5.0,46.157836540299925,15,194.5,IS,2022
2022-07-14,SHORT,2022-07-14 10:30:00-04:00,2022-07-14 11:10:00-04:00,11554.5,11630.25,SL_YELLOW,-75.75,2,-79.0,21.75,48.96979724997543,10,164.25,IS,2022
2022-07-15,LONG,2022-07-15 10:50:00-04:00,2022-07-15 16:10:00-04:00,11934.0,12015.75,FORCE_CLOSE,81.75,16,-17.0,82.25,51.32404307242072,10,192.5,IS,2022
2022-07-18,SHORT,2022-07-18 14:10:00-04:00,2022-07-18 16:10:00-04:00,11978.25,11912.75,FORCE_CLOSE,65.5,6,-37.5,121.25,37.39427508017003,14,152.25,IS,2022
2022-07-19,LONG,2022-07-19 10:50:00-04:00,2022-07-19 14:10:00-04:00,12129.0,12273.757805893094,TP,144.75780589309397,10,-3.5,151.25,36.189451473273714,10,155.75,IS,2022
2022-07-20,LONG,2022-07-20 10:50:00-04:00,2022-07-20 16:10:00-04:00,12451.0,12482.0,FORCE_CLOSE,31.0,16,-93.0,66.5,38.87174285961892,10,122.75,IS,2022
2022-07-21,LONG,2022-07-21 12:30:00-04:00,2022-07-21 16:10:00-04:00,12606.0,12630.25,FORCE_CLOSE,24.25,11,-60.0,49.25,52.40238937659914,12,165.0,IS,2022
2022-07-22,SHORT,2022-07-22 11:50:00-04:00,2022-07-22 16:10:00-04:00,12454.0,12423.5,FORCE_CLOSE,30.5,13,-21.25,110.25,45.19958794528069,11,93.75,IS,2022
2022-07-25,SHORT,2022-07-25 10:30:00-04:00,2022-07-25 12:50:00-04:00,12332.25,12403.0,SL_YELLOW,-70.75,7,-74.75,29.5,35.270163307467456,10,114.5,IS,2022
2022-07-26,SHORT,2022-07-26 10:10:00-04:00,2022-07-26 12:10:00-04:00,12239.5,12117.353542129176,TP,122.14645787082372,6,-11.5,133.5,30.536614467705856,10,83.0,IS,2022
2022-07-27,LONG,2022-07-27 10:10:00-04:00,2022-07-27 14:50:00-04:00,12393.0,12503.248386523856,TP,110.24838652385552,14,-5.5,208.25,27.562096630963783,10,139.5,IS,2022
2022-07-29,LONG,2022-07-29 14:30:00-04:00,2022-07-29 16:10:00-04:00,12952.0,12964.0,FORCE_CLOSE,12.0,5,-7.75,60.0,39.20602513226452,14,148.0,IS,2022
2022-08-01,LONG,2022-08-01 11:10:00-04:00,2022-08-01 13:10:00-04:00,13059.5,12990.5,SL_YELLOW,-69.0,6,-96.75,33.0,44.074769689383636,11,120.0,IS,2022
2022-08-02,LONG,2022-08-02 12:10:00-04:00,2022-08-02 13:50:00-04:00,13004.25,12912.5,SL_YELLOW,-91.75,5,-101.0,92.75,44.90780615407321,12,161.0,IS,2022
2022-08-03,LONG,2022-08-03 10:10:00-04:00,2022-08-03 15:50:00-04:00,13160.75,13304.62104478085,TP,143.87104478084984,17,-100.0,149.5,35.96776119521264,10,149.5,IS,2022
2022-08-08,LONG,2022-08-08 10:10:00-04:00,2022-08-08 10:50:00-04:00,13395.0,13323.0,SL_YELLOW,-72.0,2,-78.5,16.5,36.96122735470402,10,181.25,IS,2022
2022-08-09,SHORT,2022-08-09 10:10:00-04:00,2022-08-09 16:10:00-04:00,12976.75,13046.25,FORCE_CLOSE,-69.5,18,-90.5,13.5,32.54452503070932,10,157.25,IS,2022
2022-08-10,LONG,2022-08-10 15:50:00-04:00,2022-08-10 16:10:00-04:00,13392.5,13382.25,FORCE_CLOSE,-10.25,1,-13.0,15.5,38.35847323162753,15,393.0,IS,2022
2022-08-11,LONG,2022-08-11 10:30:00-04:00,2022-08-11 10:50:00-04:00,13523.5,13477.0,SL_YELLOW,-46.5,1,-57.5,25.25,30.18748491545032,10,140.25,IS,2022
2022-08-12,LONG,2022-08-12 11:30:00-04:00,2022-08-12 16:10:00-04:00,13469.0,13566.25,FORCE_CLOSE,97.25,14,-15.5,114.25,35.83857207364778,11,105.25,IS,2022
2022-08-15,LONG,2022-08-15 11:50:00-04:00,2022-08-15 16:10:00-04:00,13654.25,13675.0,FORCE_CLOSE,20.75,13,-18.5,51.75,35.812065406374195,11,79.25,IS,2022
2022-08-16,SHORT,2022-08-16 10:10:00-04:00,2022-08-16 11:30:00-04:00,13592.25,13627.25,SL_YELLOW,-35.0,4,-40.25,69.5,22.455026873195607,10,61.5,IS,2022
2022-08-17,SHORT,2022-08-17 10:50:00-04:00,2022-08-17 14:10:00-04:00,13467.5,13555.75,SL_YELLOW,-88.25,10,-101.5,61.25,35.0024644979017,10,166.25,IS,2022
2022-08-19,SHORT,2022-08-19 10:10:00-04:00,2022-08-19 16:10:00-04:00,13292.5,13261.75,FORCE_CLOSE,30.75,18,-22.25,63.75,29.683426092641223,10,176.25,IS,2022
2022-08-22,SHORT,2022-08-22 10:10:00-04:00,2022-08-22 14:50:00-04:00,13016.25,12913.275868476858,TP,102.9741315231422,14,-4.5,124.5,25.743532880785775,10,179.75,IS,2022
2022-08-24,LONG,2022-08-24 11:30:00-04:00,2022-08-24 13:30:00-04:00,12987.0,12913.0,SL_YELLOW,-74.0,6,-76.75,24.25,32.36857617595907,11,112.25,IS,2022
2022-08-25,LONG,2022-08-25 10:50:00-04:00,2022-08-25 11:10:00-04:00,13111.5,13053.25,SL_YELLOW,-58.25,1,-64.0,1.5,32.45797988869737,10,160.5,IS,2022
2022-08-26,SHORT,2022-08-26 10:50:00-04:00,2022-08-26 15:30:00-04:00,12923.5,12679.448981879412,TP,244.0510181205882,14,-1.25,248.5,61.01275453014707,10,151.5,IS,2022
2022-08-29,LONG,2022-08-29 10:10:00-04:00,2022-08-29 10:50:00-04:00,12538.25,12505.5,SL_YELLOW,-32.75,2,-49.75,72.0,39.11806955569266,10,132.5,IS,2022
2022-08-30,SHORT,2022-08-30 10:30:00-04:00,2022-08-30 13:50:00-04:00,12403.75,12252.772260144839,TP,150.97773985516142,10,-9.25,156.25,37.74443496379045,10,174.75,IS,2022
2022-08-31,SHORT,2022-08-31 11:30:00-04:00,2022-08-31 11:50:00-04:00,12331.5,12373.0,SL_YELLOW,-41.5,1,-56.0,17.75,52.21344901632161,11,151.25,IS,2022
2022-09-01,SHORT,2022-09-01 11:10:00-04:00,2022-09-01 13:30:00-04:00,12077.0,12117.5,SL_YELLOW,-40.5,7,-46.25,59.25,46.41789186153447,11,180.25,IS,2022
2022-09-02,SHORT,2022-09-02 13:30:00-04:00,2022-09-02 16:10:00-04:00,12139.5,12133.0,FORCE_CLOSE,6.5,8,-30.0,99.25,61.03113076231988,13,188.5,IS,2022
2022-09-05,LONG,2022-09-05 12:30:00-04:00,2022-09-05 12:50:00-04:00,12163.0,12130.25,SL_YELLOW,-32.75,1,-34.25,3.5,22.00933713775226,12,95.5,IS,2022
2022-09-06,SHORT,2022-09-06 10:10:00-04:00,2022-09-06 11:10:00-04:00,11960.5,12117.25,SL_YELLOW,-156.75,3,-179.0,30.5,43.82865280606066,10,132.5,IS,2022
2022-09-07,LONG,2022-09-07 11:30:00-04:00,2022-09-07 15:10:00-04:00,12127.25,12294.329649865502,TP,167.07964986550178,11,-26.25,168.5,41.76991246637552,11,156.25,IS,2022
2022-09-08,LONG,2022-09-08 11:30:00-04:00,2022-09-08 11:50:00-04:00,12432.5,12391.5,SL_YELLOW,-41.0,1,-44.75,10.75,47.726282035163116,11,179.0,IS,2022
2022-09-09,LONG,2022-09-09 10:30:00-04:00,2022-09-09 16:10:00-04:00,12603.75,12661.75,FORCE_CLOSE,58.0,17,-15.25,87.5,34.96398872142797,10,151.0,IS,2022
2022-09-12,LONG,2022-09-12 10:30:00-04:00,2022-09-12 11:10:00-04:00,12822.25,12765.0,SL_YELLOW,-57.25,2,-65.0,8.5,28.371960799494296,10,126.5,IS,2022
2022-09-13,SHORT,2022-09-13 10:30:00-04:00,2022-09-13 15:50:00-04:00,12375.5,12133.301065589298,TP,242.19893441070235,16,-18.0,293.25,60.549733602675474,10,559.25,IS,2022
2022-09-14,LONG,2022-09-14 13:10:00-04:00,2022-09-14 13:30:00-04:00,12221.75,12217.75,SL_YELLOW,-4.0,1,-15.0,25.5,48.81205133877009,13,139.5,IS,2022
