date,direction,entry_ts,exit_ts,entry_price,exit_price,reason,pnl,bars_held,mae,mfe,init_atr,entry_hour,on_range,period,year
2025-06-05,SHORT,2025-06-05 14:50:00-04:00,2025-06-05 16:10:00-04:00,21705.25,21612.0,FORCE_CLOSE,93.25,4,-15.75,201.75,68.08192642033302,14,185.5,OOS,2025
2025-06-06,LONG,2025-06-06 14:30:00-04:00,2025-06-06 16:10:00-04:00,21844.25,21792.5,FORCE_CLOSE,-51.75,5,-64.0,29.25,47.78440615427666,14,341.0,OOS,2025
2025-06-09,LONG,2025-06-09 11:10:00-04:00,2025-06-09 16:10:00-04:00,21864.75,21805.0,FORCE_CLOSE,-59.75,15,-64.25,20.25,29.646713372874604,11,108.25,OOS,2025
2025-06-11,SHORT,2025-06-11 15:50:00-04:00,2025-06-11 16:10:00-04:00,21850.0,21888.25,FORCE_CLOSE,-38.25,1,-43.5,8.25,60.30876889736801,15,240.25,OOS,2025
2025-06-12,LONG,2025-06-12 11:10:00-04:00,2025-06-12 16:10:00-04:00,21952.5,21932.25,FORCE_CLOSE,-20.25,15,-71.5,17.25,44.96816217894467,11,181.0,OOS,2025
2025-06-16,LONG,2025-06-16 10:30:00-04:00,2025-06-16 16:10:00-04:00,22197.25,22173.0,FORCE_CLOSE,-24.25,17,-60.25,24.75,39.300962962033665,10,561.0,OOS,2025
2025-06-17,SHORT,2025-06-17 14:30:00-04:00,2025-06-17 16:10:00-04:00,21936.0,21961.5,FORCE_CLOSE,-25.5,5,-69.0,26.5,50.56741786960721,14,181.25,OOS,2025
2025-06-19,SHORT,2025-06-19 10:30:00-04:00,2025-06-19 13:10:00-04:00,21717.25,21703.0,EOD,14.25,8,-24.5,41.75,39.23700686075167,10,235.5,OOS,2025
2025-06-23,LONG,2025-06-23 10:50:00-04:00,2025-06-23 16:10:00-04:00,21985.0,22069.25,FORCE_CLOSE,84.25,16,-246.75,108.0,49.14723886405577,10,377.5,OOS,2025
2025-06-24,LONG,2025-06-24 13:10:00-04:00,2025-06-24 16:10:00-04:00,22396.0,22400.5,FORCE_CLOSE,4.5,9,-16.25,52.25,35.29564021520917,13,318.75,OOS,2025
2025-06-26,LONG,2025-06-26 12:30:00-04:00,2025-06-26 16:10:00-04:00,22614.5,22656.5,FORCE_CLOSE,42.0,11,-17.75,79.5,33.398173786231666,12,147.25,OOS,2025
2025-06-27,LONG,2025-06-27 12:10:00-04:00,2025-06-27 14:30:00-04:00,22803.0,22666.0,SL_YELLOW,-137.0,7,-137.0,5.25,32.06586693904847,12,127.75,OOS,2025
2025-07-01,SHORT,2025-07-01 11:30:00-04:00,2025-07-01 16:10:00-04:00,22684.5,22680.0,FORCE_CLOSE,4.5,14,-77.75,67.5,44.90804804411842,11,159.0,OOS,2025
2025-07-02,LONG,2025-07-02 11:10:00-04:00,2025-07-02 16:10:00-04:00,22833.25,22835.5,FORCE_CLOSE,2.25,15,-35.0,20.75,38.22441681908131,11,199.25,OOS,2025
2025-07-03,LONG,2025-07-03 10:30:00-04:00,2025-07-03 13:30:00-04:00,23060.0,23059.0,EOD,-1.0,9,-32.5,42.5,32.08580276417678,10,113.5,OOS,2025
2025-07-07,SHORT,2025-07-07 13:10:00-04:00,2025-07-07 16:10:00-04:00,22879.0,22856.75,FORCE_CLOSE,22.25,9,-51.0,99.25,41.745300935603154,13,120.25,OOS,2025
2025-07-09,LONG,2025-07-09 10:30:00-04:00,2025-07-09 16:10:00-04:00,23048.75,23048.75,FORCE_CLOSE,0.0,17,-129.0,11.75,30.86256884017605,10,135.25,OOS,2025
2025-07-10,SHORT,2025-07-10 10:50:00-04:00,2025-07-10 16:10:00-04:00,22972.5,23010.25,FORCE_CLOSE,-37.75,16,-77.5,32.5,34.95320370611928,10,102.25,OOS,2025
2025-07-14,LONG,2025-07-14 11:30:00-04:00,2025-07-14 16:10:00-04:00,23011.75,23027.75,FORCE_CLOSE,16.0,14,-19.75,54.75,37.66157638605485,11,141.5,OOS,2025
2025-07-17,LONG,2025-07-17 11:30:00-04:00,2025-07-17 16:10:00-04:00,23228.75,23249.25,FORCE_CLOSE,20.5,14,-12.0,51.0,33.8798258374665,11,141.5,OOS,2025
2025-07-18,SHORT,2025-07-18 10:50:00-04:00,2025-07-18 16:10:00-04:00,23209.75,23223.25,FORCE_CLOSE,-13.5,16,-44.5,40.25,27.52620145003127,10,75.5,OOS,2025
2025-07-21,LONG,2025-07-21 10:30:00-04:00,2025-07-21 16:10:00-04:00,23416.75,23350.75,FORCE_CLOSE,-66.0,17,-88.25,8.0,26.882786495033653,10,104.75,OOS,2025
2025-07-22,SHORT,2025-07-22 10:30:00-04:00,2025-07-22 16:10:00-04:00,23169.0,23204.25,FORCE_CLOSE,-35.25,17,-88.75,9.5,34.515673472879676,10,99.5,OOS,2025
2025-07-23,LONG,2025-07-23 15:10:00-04:00,2025-07-23 16:10:00-04:00,23297.25,23350.0,FORCE_CLOSE,52.75,3,-28.25,90.75,33.78149966195197,15,113.5,OOS,2025
2025-07-25,LONG,2025-07-25 13:10:00-04:00,2025-07-25 16:10:00-04:00,23445.5,23422.5,FORCE_CLOSE,-23.0,9,-38.5,14.25,23.684308214122854,13,95.0,OOS,2025
2025-07-28,SHORT,2025-07-28 14:50:00-04:00,2025-07-28 16:10:00-04:00,23461.0,23496.5,FORCE_CLOSE,-35.5,4,-43.0,11.0,25.568845297572846,14,119.0,OOS,2025
